Original,Character,Dialogue,Wordcount
"Lann:Okay, okay! I get it already! Very sorry!",Lann,"Okay, okay! I get it already! Very sorry!",8
"Lann:So, what's up? I'mallears.",Lann,"So, what's up? I'm all ears.",4
Reynn:Well you don't have to get all sarcas Uh...,Reynn,Well you don't have to get all sarcas— Uh...,9
"Lann:Uh, what?",Lann,"Uh, what?",2
"Reynn:Forget it. So Lann, have you seen anybody this morning?",Reynn,"Forget it. So Lann, have you seen anybody this morning?",10
"Lann:Well, yeah. I'm looking right at you, aren't I? And there's that customer.",Lann,"Well, yeah. I'm looking right at you, aren't I? And there's that customer.",13
Lann:You didn't even see her? Dude.,Lann,You didn't even see her? Dude.,6
"Reynn:Yeah, but... Ugh, look. Come with me right now.",Reynn,"Yeah, but... Ugh, look. Come with me right now.",9
Lann:Wha Easy!,Lann,Wha— Easy!,2
Reynn:There's nobody here!,Reynn,There's nobody here!,3
Lann:So it's a quiet morning. Maybe they just...,Lann,So it's a quiet morning. Maybe they just...,8
Reynn:I. Mean. No one!,Reynn,I. Mean. No one!,4
"Reynn:Lann, have you bumped into anyone today? Besides her?",Reynn,"Lann, have you bumped into anyone today? Besides her?",9
"Lann:Uh...now that you mention it, I guess not.",Lann,"Uh...now that you mention it, I guess not.",8
Reynn:And this isn't setting off any alarms?,Reynn,And this isn't setting off any alarms?,7
Lann:Should it?,Lann,Should it?,2
???:You two really don't remember a thing.,? ? ?,You two really don't remember a thing.,7
Reynn:Huh? What was that?,Reynn,Huh? What was that?,4
"Lann:Reynn, manners.",Lann,"Reynn, manners.",2
???:You two really don't remember a thing.,? ? ?,You two really don't remember a thing.,7
Reynn:Would you please just answer my question?,Reynn,Would you please just answer my question?,7
Enna Kros:You can call me Enna...Kros. Enna Kros will work.,Enna Kros,You can call me Enna...Kros. Enna Kros will work.,9
"Reynn:Okay, well...we woke up to a ghost town this morning. Maybe you know why?",Reynn,"Okay, well...we woke up to a ghost town this morning. Maybe you know why?",14
"Enna Kros:Yes, you're quite alone. But you always have been.",Enna Kros,"Yes, you're quite alone. But you always have been.",9
"Enna Kros:This world, it's always been the two of you. A world without time, one that ended when it began.",Enna Kros,"This world, it's always been the two of you. A world without time, one that ended when it began.",19
Lann:Wha? That's the weirdest thing I've heard.,Lann,Wha? That's the weirdest thing I've heard.,7
"Enna Kros:But don't worry. Just because the world ended, doesn't mean that it's going anywhere.",Enna Kros,"But don't worry. Just because the world ended, doesn't mean that it's going anywhere.",14
Reynn:Okay...now you're kind of scaring me.,Reynn,Okay...now you're kind of scaring me.,6
"Enna Kros:So! Now that you're awake, we've got a story to tell.",Enna Kros,"So! Now that you're awake, we've got a story to tell.",11
Tama:Right the-here!,Tama,Right the-here!,2
Lann:Aaah! Who the honk putthisthing on my head?!,Lann,Aaah! Who the honk put this thing on my head?!,8
"Reynn:Yeah, I did try to mention it before.",Reynn,"Yeah, I did try to mention it before.",8
Enna Kros:You take it from here. I'll go on ahead and link up a path.,Enna Kros,You take it from here. I'll go on ahead and link up a path.,14
Tama:You the-got it!,Tama,You the-got it!,3
"Reynn:Huh? H-hey, you can't just leave!",Reynn,"Huh? H-hey, you can't just leave!",6
Tama:Salu-the-tations! My name is Tama and I'm the-here to help out. Does anyone the-have any questions?,Tama,Salu-the-tations! My name is Tama and I'm the-here to help out. Does anyone the-have any questions?,16
"Lann:Hmm... Wait, I've gottonsof questions!",Lann,"Hmm... Wait, I've got tons of questions!",5
Tama:That's the-seriously the first thing on your mind?,Tama,That's the-seriously the first thing on your mind?,8
Lann:We're not allowed to be confused?!,Lann,We're not allowed to be confused?!,6
"Reynn:Hey whoa, take it easy there, Lann.",Reynn,"Hey whoa, take it easy there, Lann.",7
Lann:I thoughtyouwere upset too!,Lann,I thought you were upset too!,4
Tama:Let's start the-over. I'll make us some the-coffee.,Tama,Let's start the-over. I'll make us some the-coffee.,8
"Reynn:Oh, yes please!",Reynn,"Oh, yes please!",3
"Lann:But...I already made some coffee before you got here. How can you just roll with this, Reynn?!",Lann,"But...I already made some coffee before you got here. How can you just roll with this, Reynn?!",17
Tama:Chill the-ouuut. You'll live the-much longer.,Tama,Chill the-ouuut. You'll live the-much longer.,6
"Reynn:Yeah, Lann. You shouldn't start out your morning with so much stress.",Reynn,"Yeah, Lann. You shouldn't start out your morning with so much stress.",12
Tama:Oh! Would you the-like some sugar?,Tama,Oh! Would you the-like some sugar?,6
"Reynn:Three cubes for you, right, Lann? I'm good with just one.",Reynn,"Three cubes for you, right, Lann? I'm good with just one.",11
Tama:Okay! I'll the-go and put the coffee on.,Tama,Okay! I'll the-go and put the coffee on.,8
"Lann:But I justsaidI... Ugh. You know what, just give me my dang cup of coffee.",Lann,"But I just said I... Ugh. You know what, just give me my dang cup of coffee.",15
"Lann:""Mirage Keepers""? Me and Reynn?",Lann,"""Mirage Keepers""? Me and Reynn?",5
Tama:That's the-correct!,Tama,That's the-correct!,2
Lann:Dude...,Lann,Dude...,1
"Reynn:So...we could have ruled the world? Because, what, we controlled these ""Mirages""?",Reynn,"So...we could have ruled the world? Because, what, we controlled these ""Mirages""?",12
"Tama:Well, that's what I the-heard.",Tama,"Well, that's what I the-heard.",5
Lann:From who?,Lann,From who?,2
"Tama:What do you mean? Enna Kros the-told me, of course!",Tama,"What do you mean? Enna Kros the-told me, of course!",10
Lann:What? How's that?,Lann,What? How's that?,3
Lann:So what does it do?,Lann,So what does it do?,5
"Tama:With this prismarium, the Mirage inside becomes yours, and you can the-make it do the-anything and the-everything you command.",Tama,"With this prismarium, the Mirage inside becomes yours, and you can the-make it do the-anything and the-everything you command.",19
"Lann:Wait, what? Huh?",Lann,"Wait, what? Huh?",3
"Tama:Okay, go ahead and the-throw some attacks out there.",Tama,"Okay, go ahead and the-throw some attacks out there.",9
"Tama:Yeah, that's the way to the-do it!",Tama,"Yeah, that's the way to the-do it!",7
Tama:I the-knew that you had talent!,Tama,I the-knew that you had talent!,6
"Tama:All right, all right, I think I've seen enough for one the-tussle.",Tama,"All right, all right, I think I've seen enough for one the-tussle.",12
Tama:The-figure it out yet? The two of you were un-the-surpassed. No the-Mirage could stand up to you!,Tama,The-figure it out yet? The two of you were un-the-surpassed. No the-Mirage could stand up to you!,17
Lann:Dude. Seriously?,Lann,Dude. Seriously?,2
"Tama:Dude, the-seriously.",Tama,"Dude, the-seriously.",2
Reynn:It's hard to believe.,Reynn,It's hard to believe.,4
"Enna Kros:I'm sure it is. As far as I can tell, you two have lost everythingall the memories and experience you've ever accumulated.",Enna Kros,"I'm sure it is. As far as I can tell, you two have lost everything—all the memories and experience you've ever accumulated.",22
"Tama:So not only did they the-lose the Mirages they had, they've been the-stripped of all their memories of the Mirages too?",Tama,"So not only did they the-lose the Mirages they had, they've been the-stripped of all their memories of the Mirages too?",21
Enna Kros:Listen. Let me show you something.,Enna Kros,Listen. Let me show you something.,6
Lann:You mean they're all inside this gate?,Lann,You mean they're all inside this gate?,7
Enna Kros:You got it. Are you ready to conquer them again?,Enna Kros,You got it. Are you ready to conquer them again?,10
"Reynn:So, um, if we do manage to find all the lost Mirages... does that mean we'll be able to remember the things we forgot?",Reynn,"So, um, if we do manage to find all the lost Mirages... does that mean we'll be able to remember the things we forgot?",24
"Enna Kros:Well, I don't know about that. After all, youlostyour memories. It's not the same thing as forgetting them.",Enna Kros,"Well, I don't know about that. After all, you lost your memories. It's not the same thing as forgetting them.",18
"Enna Kros:But, even if you don't remember Grymoire, Grymoire still knows a lot about you.",Enna Kros,"But, even if you don't remember Grymoire, Grymoire still knows a lot about you.",14
"Lann:Okay...so, like...",Lann,"Okay...so, like...",2
"Reynn:You're saying, whether we remember anything about ourselves or not, we can still find clues about our past and the things we've done?",Reynn,"You're saying, whether we remember anything about ourselves or not, we can still find clues about our past and the things we've done?",23
"Enna Kros:Correct. And if you keep on gathering Mirages, I think you might even meet your family in due time.",Enna Kros,"Correct. And if you keep on gathering Mirages, I think you might even meet your family in due time.",19
Reynn:Our family?,Reynn,Our family?,2
"Lann:Huh? Well I guess, it does make sense that we'd have parents.",Lann,"Huh? Well I guess, it does make sense that we'd have parents.",12
Enna Kros:Oh yes. So then... You going? You going? Will you journey to Grymoire?,Enna Kros,Oh yes. So then... You going? You going? Will you journey to Grymoire?,13
"Lann:So, this must be Grymoire.",Lann,"So, this must be Grymoire.",5
"Reynn:Ha ha ha! Lann, you look like such a little dweeb!",Reynn,"Ha ha ha! Lann, you look like such a little dweeb!",11
"Lann:I know, we look ridiculous!",Lann,"I know, we look ridiculous!",5
"Tama:Oh, don't the-worry. I'm sure that's how every-the-body in this world must look.",Tama,"Oh, don't the-worry. I'm sure that's how every-the-body in this world must look.",13
Lann:That is awesomely weird.,Lann,That is awesomely weird.,4
"Reynn:Well, this kind of works out. We won't have anybody gawking at our arms.",Reynn,"Well, this kind of works out. We won't have anybody gawking at our arms.",14
Lann:Way to find the silver lining.,Lann,Way to find the silver lining.,6
Lann:I guess we should head straight down this path?,Lann,I guess we should head straight down this path?,9
"Reynn:It's the only direction we can go. Think you can manage to not get lost? You know, just this once?",Reynn,"It's the only direction we can go. Think you can manage to not get lost? You know, just this once?",20
Lann:What? I'm not gonna get lost! ...Yet.,Lann,What? I'm not gonna get lost! ...Yet.,7
"Lann:Oh, hello! I spy another Mirage.",Lann,"Oh, hello! I spy another Mirage.",6
Reynn:So what now?,Reynn,So what now?,3
"Tama:First, you're the-going to need this!",Tama,"First, you're the-going to need this!",6
Reynn:It looks sort of like a prismarium. What is it?,Reynn,It looks sort of like a prismarium. What is it?,10
Lann:Whoa! Does it even have pictures?!,Lann,Whoa! Does it even have pictures?!,6
"Tama:You the-betcha! And the-whenever you add a new Mirage to the manual, you receive one of its prisms! But only the first time, the-mind you.",Tama,"You the-betcha! And the-whenever you add a new Mirage to the manual, you receive one of its prisms! But only the first time, the-mind you.",25
"Tama:There! A prismtunity! Use the ""Imprism"" command to the-claim that Mirage for your own!",Tama,"There! A prismtunity! Use the ""Imprism"" command to the-claim that Mirage for your own!",14
"Tama:Hey the-look, you did it! Now that the chocochick is inside the prismarium, it's yours to the-keep!",Tama,"Hey the-look, you did it! Now that the chocochick is inside the prismarium, it's yours to the-keep!",17
Reynn:Cool! I can see the chocochick running around in the prismarium!,Reynn,Cool! I can see the chocochick running around in the prismarium!,11
"Tama:Yup, that's the-right! While I'm up the-here, I get to take it nice and the-easy.",Tama,"Yup, that's the-right! While I'm up the-here, I get to take it nice and the-easy.",15
"Lann:Uh, is that stacking or slacking?",Lann,"Uh, is that stacking or slacking?",6
"Tama:Better the-yet, your magic and other abilities have the potential to change, too. It all depends on how your stack is the-configured!",Tama,"Better the-yet, your magic and other abilities have the potential to change, too. It all depends on how your stack is the-configured!",22
"Lann:Huh? Oh, I don't need any action figures when I get to blast out super-attacks like a super-robot!",Lann,"Huh? Oh, I don't need any action figures when I get to blast out super-attacks like a super-robot!",18
"Tama:Well, just be the-careful. Stacking doesn't the-make you invincible. Some the-enemy attacks have the power tounstack you.",Tama,"Well, just be the-careful. Stacking doesn't the-make you invincible. Some the-enemy attacks have the power to unstack you.",17
"Reynn:In other words: bye-bye, super-robot, so to speak.",Reynn,"In other words bye-bye, super-robot, so to speak.",8
Lann:Yowzers. Thatdoessound like bad news.,Lann,Yowzers. That does sound like bad news.,5
"Tama:It's true that we are individually the-weaker when we're unstacked, but look on the bright the-side. Since we each get our own the-turn in battle,",Tama,"It's true that we are individually the-weaker when we're unstacked, but look on the bright the-side. Since we each get our own the-turn in battle,",25
"Tama:By the way, you two can the-switch between Jiant size and Lilikin size.",Tama,"By the way, you two can the-switch between Jiant size and Lilikin size.",13
Reynn:Huh? A dead-end?,Reynn,Huh? A dead-end?,3
Lann:But there's nowhere else to go. What are we gonna do?,Lann,But there's nowhere else to go. What are we gonna do?,11
Tama:Never the-fear!,Tama,Never the-fear!,2
"Reynn:Is this a Mirage, too?",Reynn,"Is this a Mirage, too?",5
"Tama:Not in the traditional the-sense of the word. But you'll see these pests all over Grymoire,",Tama,"Not in the traditional the-sense of the word. But you'll see these pests all over Grymoire,",16
Lann:So what is it they want?,Lann,So what is it they want?,6
"Tama:It really the-depends on the Gimme Golem, so the first thing you'll have to the-do is examine it.",Tama,"It really the-depends on the Gimme Golem, so the first thing you'll have to the-do is examine it.",18
Gimme Golem:Gimme gimme...,Gimme Golem,Gimme gimme...,2
Lann:So where do we find that?,Lann,So where do we find that?,6
Tama:That chocochick you just imprismed ought to be able to track the-down what we need.,Tama,That chocochick you just imprismed ought to be able to track the-down what we need.,15
"Reynn:Hey, the chocochick's come along for a stroll.",Reynn,"Hey, the chocochick's come along for a stroll.",8
Lann:Huh? It found something.,Lann,Huh? It found something.,4
"Tama:Yay! You the-found it! Now, try examining the Gimme Golem one more the-time.",Tama,"Yay! You the-found it! Now, try examining the Gimme Golem one more the-time.",13
Lann:Whoa! It vanished!,Lann,Whoa! It vanished!,3
Reynn:That's so cool! I guess the chocochick found us just the item we needed.,Reynn,That's so cool! I guess the chocochick found us just the item we needed.,14
"Reynn:So...Tama, I noticed Mirages disappear when we defeat them. Why is that?",Reynn,"So...Tama, I noticed Mirages disappear when we defeat them. Why is that?",12
Tama:Most of the Mirages you see in Grymoire don't actually the-technically belong in this world.,Tama,Most of the Mirages you see in Grymoire don't actually the-technically belong in this world.,15
Lann:Now what'sthis?,Lann,Now what's this?,2
"Lann:Mirages? Oh man, let's go catch 'em!",Lann,"Mirages? Oh man, let's go catch 'em!",7
Reynn:Lann! Why did youNowwhat do we do?,Reynn,Lann! Why did you— Now what do we do?,7
"Tama:I tried to the-tell you. Inside murkrifts, you're likely to find Mirages that are the-strong and dangerous.",Tama,"I tried to the-tell you. Inside murkrifts, you're likely to find Mirages that are the-strong and dangerous.",17
"Lann:You ""tried to the-tell"" us? Try a little harder, please!",Lann,"You ""tried to the-tell"" us? Try a little harder, please!",10
Reynn:Unnh... Ooh ooh ooh ow.,Reynn,Unnh... Ooh ooh ooh ow.,5
Enna Kros:Oh no! Did you two die already?,Enna Kros,Oh no! Did you two die already?,7
Lann:What?! I died? But that's... No way.,Lann,What?! I died? But that's... No way.,7
Reynn:Maybe it's true... That Mirage in the murkrift did kinda...,Reynn,Maybe it's true... That Mirage in the murkrift did kinda...,10
"Lann:Well,I'mstill alive.",Lann,"Well, I'm still alive.",2
"Enna Kros:Yes. That's because someone intervened right at the moment of your demise, and made it so the battle never happened.",Enna Kros,"Yes. That's because someone intervened right at the moment of your demise, and made it so the battle never happened.",20
"Reynn:Wow, you can really do that?",Reynn,"Wow, you can really do that?",6
Enna Kros:Of course! Although Tama's the one who does it.,Enna Kros,Of course! Although Tama's the one who does it.,9
"Tama:That's the-right! I have the power to rewind time a little, and then the-whisk you to safety.",Tama,"That's the-right! I have the power to rewind time a little, and then the-whisk you to safety.",17
"Reynn:A ""life""?",Reynn,"A ""life""?",2
"Tama:You might not the-believe it, but I've actually got multiple lives. Back there, I had to sacrifice one of those lives to turn back time and the-save you.",Tama,"You might not the-believe it, but I've actually got multiple lives. Back there, I had to sacrifice one of those lives to turn back time and the-save you.",28
"Lann:That makes zero sense and kind of freaks me out, but Tama, I'mimpressed!",Lann,"That makes zero sense and kind of freaks me out, but Tama, I'm impressed!",13
Lann:Dude! You got it. Say no more! Rest yourself silly.,Lann,Dude! You got it. Say no more! Rest yourself silly.,10
Tama:Yes the-sir!,Tama,Yes the-sir!,2
"Reynn:Thanks, Tama. We really owe you one.",Reynn,"Thanks, Tama. We really owe you one.",7
Lann:Hey. Who's that?,Lann,Hey. Who's that?,3
"Enna Kros:Oh! If you mean our new guest, she claims to have gotten herself lost.",Enna Kros,"Oh! If you mean our new guest, she claims to have gotten herself lost.",14
"Lann:Uh, okay!",Lann,"Uh, okay!",2
Enna Kros:The real question is how she got here from the outside world when it's no easy trick.,Enna Kros,The real question is how she got here from the outside world when it's no easy trick.,17
Reynn:So...she's over at North Promenade.,Reynn,So...she's over at North Promenade.,5
Reynn:Oh wow. She's so tiny! Is she a... What's the word again? Lilikin?,Reynn,Oh wow. She's so tiny! Is she a... What's the word again? Lilikin?,13
???:Choco-boco-lina! ...Oh!,? ? ?,Choco-boco-lina! ...Oh!,2
"Lann:Uh, good. More or less.",Lann,"Uh, good. More or less.",5
"???:You know, what a nice, quiet place.",? ? ?,"You know, what a nice, quiet place.",7
"Reynn:Oh, uh...",Reynn,"Oh, uh...",2
Tama:So who are the-you?,Tama,So who are the-you?,4
Chocolatte:Oh! You can call me Chocolatte.,Chocolatte,Oh! You can call me Chocolatte.,6
Chocolatte:I seem to have washed up here like a soggy yellow feather in a storm.,Chocolatte,I seem to have washed up here like a soggy yellow feather in a storm.,15
Chocolatte:I do have this funny knack for winding up in strange places.,Chocolatte,I do have this funny knack for winding up in strange places.,12
"Reynn:Uh, cool...",Reynn,"Uh, cool...",2
"Chocolatte:Oh, right!",Chocolatte,"Oh, right!",2
"Lann:Whoa, slow down! What kind of operation is this?",Lann,"Whoa, slow down! What kind of operation is this?",9
"Chocolatte:It's called a shop, dear.",Chocolatte,"It's called a shop, dear.",5
"Reynn:So hey, are you ready to head back to Grymoire?",Reynn,"So hey, are you ready to head back to Grymoire?",10
"Serafie:Well, you had it coming.",Serafie,"Well, you had it coming.",5
"Tama:Well, I don't remember you the-raising me at all!",Tama,"Well, I don't remember you the-raising me at all!",9
Reynn:Who's this?,Reynn,Who's this?,2
"Serafie:Oh, hi. I'm just your adorable local wind pixie, aka Serafie.",Serafie,"Oh, hi. I'm just your adorable local wind pixie, aka Serafie.",11
Serafie:Hoarding. Why do you think I'm here?,Serafie,Hoarding. Why do you think I'm here?,7
Reynn:Well...we're still working on it.,Reynn,Well...we're still working on it.,5
Serafie:Uh-huh. You'll have scads of them before long. You're gonna need a place to unload.,Serafie,Uh-huh. You'll have scads of them before long. You're gonna need a place to unload.,15
"Lann:Yeah, they are kind of bulky.",Lann,"Yeah, they are kind of bulky.",6
"Serafie:Well, who's got you covered? This pixie right here.",Serafie,"Well, who's got you covered? This pixie right here.",9
"Reynn:I'm not sure I caught every single word, but I guess...""I Agree""?",Reynn,"I'm not sure I caught every single word, but I guess...""I Agree""?",12
"Tama:Serafie's kind of a ""special"" the-case.",Tama,"Serafie's kind of a ""special"" the-case.",6
"Enna Kros:Anyway, I think you should be able to manage on your own from here.",Enna Kros,"Anyway, I think you should be able to manage on your own from here.",14
Tama:You mean you're the-leaving us?,Tama,You mean you're the-leaving us?,5
Enna Kros:Yes. You handle things now.,Enna Kros,Yes. You handle things now.,5
"Tama:Oh! Okay, I the-will!",Tama,"Oh! Okay, I the-will!",4
Reynn:Huh? B-but where are you going now?,Reynn,Huh? B-but where are you going now?,7
"Enna Kros:Oh, well... Somewhere else, of course.",Enna Kros,"Oh, well... Somewhere else, of course.",6
"Reynn:Yeah, that's not exactly very helpful. Look, we really need to ask you so many things!",Reynn,"Yeah, that's not exactly very helpful. Look, we really need to ask you so many things!",16
"Enna Kros:No no, you'll figure it out. I can't do everything for you now.",Enna Kros,"No no, you'll figure it out. I can't do everything for you now.",13
Reynn:Everything? But you've barely done anything.,Reynn,Everything? But you've barely done anything.,6
"Enna Kros:Besides, every world has its own rules. Like water dousing fire, and light banishing darkness.",Enna Kros,"Besides, every world has its own rules. Like water dousing fire, and light banishing darkness.",15
"Lann:Uhh, I think that's just called ""science""?",Lann,"Uhh, I think that's just called ""science""?",7
"Enna Kros:Well, I design mine to be so completely unbreakable that even I can't undo them.",Enna Kros,"Well, I design mine to be so completely unbreakable that even I can't undo them.",15
Lann:Undo what?,Lann,Undo what?,2
Enna Kros:The rules.,Enna Kros,The rules.,2
Lann:Ugh... You're bad at explaining.,Lann,Ugh... You're bad at explaining.,5
Reynn:You're saying you can't help because that violates the rules of the world or something?,Reynn,You're saying you can't help because that violates the rules of the world or something?,15
"Lann:But whyisthat? I mean, come on. Just who do you think you are?",Lann,"But why is that? I mean, come on. Just who do you think you are?",13
"Enna Kros:Me? Oh, well...",Enna Kros,"Me? Oh, well...",3
Lann:Dude.,Lann,Dude.,1
Reynn:I guess we can'tnecessarilyrule it out. But for somebody calling the cosmic shots...,Reynn,I guess we can't necessarily rule it out. But for somebody calling the cosmic shots...,13
"Serafie:Well, that's Enna Kros for you, so get used to it.",Serafie,"Well, that's Enna Kros for you, so get used to it.",11
Lann:So...she really is god?,Lann,So...she really is god?,4
"Serafie:Beats me. Enna Kros is Enna Kros, wouldn't you say?",Serafie,"Beats me. Enna Kros is Enna Kros, wouldn't you say?",10
Tama:Pretty the-much.,Tama,Pretty the-much.,2
"Reynn:Uh, thanks for clearing it up.",Reynn,"Uh, thanks for clearing it up.",6
"Lann:Well, that certainly cost us a chunk of time.",Lann,"Well, that certainly cost us a chunk of time.",9
Reynn:And whose fault is that?,Reynn,And whose fault is that?,5
"Lann:Oh, uh...yeah! I want names!",Lann,"Oh, uh...yeah! I want names!",5
Reynn:Lann! Don't touch it this time.,Reynn,Lann! Don't touch it this time.,6
"Lann:I know, I know. But...could we see all this stuff before?",Lann,"I know, I know. But...could we see all this stuff before?",11
"Tama:Now that you've fought that thing the-once, you can see all its information.",Tama,"Now that you've fought that thing the-once, you can see all its information.",13
Reynn:Got it.,Reynn,Got it.,2
"Tama:Yup!Verygood thing to keep in the-mind,Lann.",Tama,"Yup! Very good thing to keep in the-mind, Lann.",6
"Lann:Uh, why are you repeating it? And just for my sake?",Lann,"Uh, why are you repeating it? And just for my sake?",11
???:Chapter 2 - Foretold by Prophecy,? ? ?,Chapter 2 - Foretold by Prophecy,6
"Lann:Hey Sis, is that a town over there at the end of the bridge?",Lann,"Hey Sis, is that a town over there at the end of the bridge?",14
"Reynn:Yeah. And I don't know why, but something about it ""takes me back""...",Reynn,"Yeah. And I don't know why, but something about it ""takes me back""...",13
"Reynn:So, uh...you think we're supposed to get on?",Reynn,"So, uh...you think we're supposed to get on?",8
Tama:Abso-the-lutely! All the-aboard!,Tama,Abso-the-lutely! All the-aboard!,3
"Lann:Oh, dude!",Lann,"Oh, dude!",2
"Lann:Oh. Hey Sis, let's park it here.",Lann,"Oh. Hey Sis, let's park it here.",7
"Lann:Uh, hi...",Lann,"Uh, hi...",2
Lann:They're so tiny.,Lann,They're so tiny.,3
"???:Whoa, pluck my needles! I don't knowhowlong it's been since we've had new passengers.",? ? ?,"Whoa, pluck my needles! I don't know how long it's been since we've had new passengers.",14
"Cactuar Conductor:Right. Tickets, please!",Cactuar Conductor,"Right. Tickets, please!",3
Lann:Ohhh!,Lann,Ohhh!,1
Reynn:A Mirage?,Reynn,A Mirage?,2
Lann:What? It talks?!,Lann,What? It talks?!,3
"Cactuar Conductor:Oh, I indeedily needilyama Mirage, but I'm also the train conductor, sooo... tickets, please!",Cactuar Conductor,"Oh, I indeedily needily am a Mirage, but I'm also the train conductor, sooo... tickets, please!",14
"Lann:The conductor? Well, all right... If Tama can talk, then why not?",Lann,"The conductor? Well, all right... If Tama can talk, then why not?",12
"Reynn:But, the train tickets that we need",Reynn,"But, the train tickets that we need—",7
Tama:Are right the-here!,Tama,Are right the-here!,3
Lann:Right the-how?,Lann,Right the-how?,2
"Cactuar Conductor:Wow! Semi-lifetime passes, eh? Haven't feasted my eyes on one of these in a swell spell.",Cactuar Conductor,"Wow! Semi-lifetime passes, eh? Haven't feasted my eyes on one of these in a swell spell.",16
Reynn:Where did those tickets come from?,Reynn,Where did those tickets come from?,6
Tama:Enna Kros made sure I was provided with everything we could ever the-need. Yup-the-yup!,Tama,Enna Kros made sure I was provided with everything we could ever the-need. Yup-the-yup!,14
"Reynn:Uh, okay then...",Reynn,"Uh, okay then...",3
"Lann:So why a ""semi""-lifetime pass? And not a lifetime one?",Lann,"So why a ""semi""-lifetime pass? And not a lifetime one?",10
Lann:Wow... This place rules!,Lann,Wow... This place rules!,4
"Reynn:Yeah, it's like something right out of a fantasy.",Reynn,"Yeah, it's like something right out of a fantasy.",9
"Lann:Hey, Tama. Why don't you hitch a ride?",Lann,"Hey, Tama. Why don't you hitch a ride?",8
Tama:Roger the-dodger!,Tama,Roger the-dodger!,2
"Reynn:Oh, us? We're, uh...",Reynn,"Oh, us? We're, uh...",4
Frightened Man:Ah! Mirages from the Bahamutian Army!,Frightened Man,Ah! Mirages from the Bahamutian Army!,6
Lann:Baha-moo? What's...a Bahamoo?,Lann,Baha-moo? What's...a Bahamoo?,3
"Passerby:Well, the Bahamutian Federation has a whole army of Mirages in their employ.",Passerby,"Well, the Bahamutian Federation has a whole army of Mirages in their employ.",13
Reynn:Huh? Someone's made a whole army out of them?,Reynn,Huh? Someone's made a whole army out of them?,9
"Lann:Sounds just fine by me. Line 'em up nice and neat for us, so we can round 'em up!",Lann,"Sounds just fine by me. Line 'em up nice and neat for us, so we can round 'em up!",19
"Lann:All right you Baha-moos, what's your beef? Huh?!",Lann,"All right you Baha-moos, what's your beef? Huh?!",8
Tama:You the-make it sound like they'remadeof beef.,Tama,You the-make it sound like they're made of beef.,7
"Reynn:Ugh... Yeah, Lann. Don't you know what's at ""steak""?",Reynn,"Ugh... Yeah, Lann. Don't you know what's at ""steak""?",9
Lann:Whoa! What the... What just happened? Why wasn't I able to imprism that Mirage?,Lann,Whoa! What the... What just happened? Why wasn't I able to imprism that Mirage?,14
Tama:Didn't you see the light the-surrounding it? That means it's the-beholden to another keeper.,Tama,Didn't you see the light the-surrounding it? That means it's the-beholden to another keeper.,14
Lann:Be-what? B.O.? They smell?,Lann,Be-what? B.O.? They smell?,4
"Tama:UGH! No! What I mean is, the Mirage already has another the-master.",Tama,"UGH! No! What I mean is, the Mirage already has another the-master.",12
