Original,Character,Dialogue,Wordcount
"Jessie: ...And it's more of the same. Come on, then.",Jessie,"...And it's more of the same. Come on, then.",9
"Jessie: Pretty easy, right?",Jessie,"Pretty easy, right?",3
"Jessie: Nice job, Cloud!",Jessie,"Nice job, Cloud!",3
"Jessie: Like a walk in the park, huh?",Jessie,"Like a walk in the park, huh?",7
Jessie: Not a scratch! Now onto the objective!,Jessie,Not a scratch! Now onto the objective!,7
"Jessie: Well, I'm glad that's over with. And we're almost at our objective.",Jessie,"Well, I'm glad that's over with. And we're almost at our objective.",12
Jessie: Look. They don't call those things sweepers for nothing. They can wipe out a whole squad in seconds.,Jessie,Look. They don't call those things sweepers for nothing. They can wipe out a whole squad in seconds.,18
Cloud: Not if you wipe the floor with them first.,Cloud,Not if you wipe the floor with them first.,9
Barret: Hah! We can take this hunk of junk!,Barret,Hah! We can take this hunk of junk!,8
"Cloud: That ""hunk of junk"" is a heavy weapons platform. If we rush in...we die.",Cloud,"That ""hunk of junk"" is a heavy weapons platform. If we rush in...we die.",14
Barret: Is that right?,Barret,Is that right?,3
Cloud: Need to hit it with magic. That should give us an opening.,Cloud,Need to hit it with magic. That should give us an opening.,12
Barret: Hey! It stopped moving!,Barret,Hey! It stopped moving!,4
Cloud: Let's pin it down! Give it all you've got!,Cloud,Let's pin it down! Give it all you've got!,9
"Barret: Of course, it just had to get back up.",Barret,"Of course, it just had to get back up.",9
Cloud: So we knock it down again. No time to complain.,Cloud,So we knock it down again. No time to complain.,10
Cloud: Now's our chance! Go!,Cloud,Now's our chance! Go!,4
Barret: Don't need to tell me twice! I'm gonna enjoy this!,Barret,Don't need to tell me twice! I'm gonna enjoy this!,10
Jessie: And that's that!,Jessie,And that's that!,3
"Barret: What are you, twenty-something?",Barret,"What are you, twenty-something?",4
Cloud: First.,Cloud,First.,1
Barret: Huh?,Barret,Huh?,1
Cloud: SOLDIER: First Class. Doesn't go into the twenties.,Cloud,SOLDIER First Class. Doesn't go into the twenties.,8
"Barret: The hell you talking about? I mean your age, not your goddamn rank!",Barret,"The hell you talking about? I mean your age, not your goddamn rank!",13
"Cloud: I, uh...",Cloud,"I, uh...",2
"Barret: Though, for all I know, a SOLDIER's rank could be the same as his age... Mm-hmm. Guess that'd make you a one-year-old, huh? Live and learn!",Barret,"Though, for all I know, a SOLDIER's rank could be the same as his age... Mm-hmm. Guess that'd make you a one-year-old, huh? Live and learn!",26
Jessie: That's our target. The reactor core. Gotta set the bomb at the bottom.,Jessie,That's our target. The reactor core. Gotta set the bomb at the bottom.,13
Jessie: Let's get down there.,Jessie,Let's get down there.,4
Barret: Goddamn... I can practicallytastethe mako in here... Hurry it up!,Barret,Goddamn... I can practically taste the mako in here... Hurry it up!,10
Barret: My heart's pounding like a jackhammer!,Barret,My heart's pounding like a jackhammer!,6
"Cloud: Scared, huh?",Cloud,"Scared, huh?",2
Barret: Hah! More like excited. I've been dreaming about this for years!,Barret,Hah! More like excited. I've been dreaming about this for years!,11
"Jessie: Heads up, boysthe end's in sight. I leave the rest in your capable hands. Good luck!",Jessie,"Heads up, boys—the end's in sight. I leave the rest in your capable hands. Good luck!",16
"Jessie: Not that way! Down the ladder, dummy!",Jessie,"Not that way! Down the ladder, dummy!",7
"Barret: You think, if we fell in, we'd sink right down to the bottom? To the planet's core?",Barret,"You think, if we fell in, we'd sink right down to the bottom? To the planet's core?",17
"Cloud: No, the pump would suck us back up.",Cloud,"No, the pump would suck us back up.",8
Barret: How comforting.,Barret,How comforting.,2
On-screen: Mako Reactor 1 - Core,On-screen,Mako Reactor 1 - Core,5
"Barret: Yeah, let's do this... Let's do this!",Barret,"Yeah, let's do this... Let's do this!",7
Barret: All right. Let's see if little Stamp reallycanbite the hand that feeds...,Barret,All right. Let's see if little Stamp really can bite the hand that feeds...,12
Barret: Go on. Do the honors. Prove to me you're the man Tifa says you are. That you're one of us.,Barret,Go on. Do the honors. Prove to me you're the man Tifa says you are. That you're one of us.,20
Cloud: Never said I was. I'm just here for the paycheck.,Cloud,Never said I was. I'm just here for the paycheck.,10
Barret: Then do the damn job!,Barret,Then do the damn job!,5
Barret: What's wrong?,Barret,What's wrong?,2
Cloud: I'm fine. What about the timer?,Cloud,I'm fine. What about the timer?,6
"Barret: Your call, merc.",Barret,"Your call, merc.",3
On-screen: Set the timer:,On-screen,Set the timer,3
"Barret: Pretty cocky, ain'tcha?",Barret,"Pretty cocky, ain'tcha?",3
Barret: Hah! That long enough for you?,Barret,Hah! That long enough for you?,6
Barret: You double-crossing,Barret,You double-crossing—,2
Cloud: Heads up!,Cloud,Heads up!,2
Barret: What in the hell!?,Barret,What in the hell!?,4
Barret: Hey! How the hell do we fight this thing?,Barret,Hey! How the hell do we fight this thing?,9
Cloud: It's got reinforced armor platingbut the internals can be overloaded. Lightning magic.,Cloud,It's got reinforced armor plating—but the internals can be overloaded. Lightning magic.,12
"Barret: No other option, huh.",Barret,"No other option, huh.",4
Cloud: Can't see an opening... Impressive...,Cloud,Can't see an opening... Impressive...,5
"Barret: Damn, this thing is tough!",Barret,"Damn, this thing is tough!",5
Cloud: Wouldn't be much of a weapon if it went down easy.,Cloud,Wouldn't be much of a weapon if it went down easy.,11
Barret: Don't compliment the giant scorpion!,Barret,Don't compliment the giant scorpion!,5
Cloud: Gotta heal up.,Cloud,Gotta heal up.,3
Barret: Sure could use a break...,Barret,Sure could use a break...,5
Cloud: Damnit. Need to heal up soon...,Cloud,Damnit. Need to heal up soon...,6
Cloud: Gotta memorize the attack patterns...,Cloud,Gotta memorize the attack patterns...,5
Cloud: Gotta time our attacks just right! Hold out until you spot an opening!,Cloud,Gotta time our attacks just right! Hold out until you spot an opening!,13
Barret: Hell yeah! You see the damage that did!?,Barret,Hell yeah! You see the damage that did!?,8
Cloud: Keep it up!,Cloud,Keep it up!,3
Barret: We barely scratched the damn thing!,Barret,We barely scratched the damn thing!,6
Cloud: Didn't I tell you to use magic!?,Cloud,Didn't I tell you to use magic!?,7
Barret: Thought you were full of shit.,Barret,Thought you were full of shit.,6
Cloud: Think whatever you wantjust do it!,Cloud,Think whatever you want—just do it!,6
Barret: Damn pain in the ass...,Barret,Damn pain in the ass...,5
Barret: Got anything you wanna say?,Barret,Got anything you wanna say?,5
Barret: Funny way to ask for help.,Barret,Funny way to ask for help.,6
Barret: Shit. Was just about to get you out.,Barret,Shit. Was just about to get you out.,8
Cloud: Wasn't expecting you to do jack...,Cloud,Wasn't expecting you to do jack...,6
Barret: Pretty quick for a heap of scrap!,Barret,Pretty quick for a heap of scrap!,7
Barret: The hell is that!?,Barret,The hell is that!?,4
Cloud: A barrier? Never seen this defense system before...,Cloud,A barrier? Never seen this defense system before...,8
Barret: Thought you were the expert!,Barret,Thought you were the expert!,5
"Cloud: So what's your brilliant plan, genius?",Cloud,"So what's your brilliant plan, genius?",6
Cloud: There! Attack it from the rear!,Cloud,There! Attack it from the rear!,6
"Barret: Aight, SOLDIER boy! Show me what you got!",Barret,"Aight, SOLDIER boy! Show me what you got!",8
Cloud: Bingo. Focus on that core!,Cloud,Bingo. Focus on that core!,5
"Barret: Oh,nowhe remembers. Don't keep me waiting in suspense next time!",Barret,"Oh, now he remembers. Don't keep me waiting in suspense next time!",10
Barret: Huh!? It didn't work!?,Barret,Huh!? It didn't work!?,4
Barret: Dammit! Gotta do something about that barrier first!,Barret,Dammit! Gotta do something about that barrier first!,8
"Barret: Damn, this thing is tough!",Barret,"Damn, this thing is tough!",5
Cloud: Wouldn't be much of a weapon if it went down easy.,Cloud,Wouldn't be much of a weapon if it went down easy.,11
Barret: Don't compliment the giant scorpion!,Barret,Don't compliment the giant scorpion!,5
Barret: (chuckles) It's my time to shine!,Barret,(chuckles) It's my time to shine!,6
Cloud: Or go down in flames...,Cloud,Or go down in flames...,5
Cloud: Another barrier!?,Cloud,Another barrier!?,2
Barret: Enough with the barriers!,Barret,Enough with the barriers!,4
Cloud: Watch the tail! You don't want to get hit by that laser!,Cloud,Watch the tail! You don't want to get hit by that laser!,12
"Barret: Huh!? So, whadda we do!?",Barret,"Huh!? So, whadda we do!?",5
Cloud: Don't get hit! Take cover behind that debris.,Cloud,Don't get hit! Take cover behind that debris.,8
Cloud: Now! Go!,Cloud,Now! Go!,2
Barret: Now! Get in there and do some damage!,Barret,Now! Get in there and do some damage!,8
Barret: It's wide open! Gonna light it up!,Barret,It's wide open! Gonna light it up!,7
Cloud: Heads uptail laser!,Cloud,Heads up—tail laser!,3
Barret: I see it!,Barret,I see it!,3
Cloud: Then take cover already!,Cloud,Then take cover already!,4
Cloud: Incomingtake cover!,Cloud,Incoming—take cover!,2
Barret: There really no other option?,Barret,There really no other option?,5
Cloud: Wanna get shot? Be my guest!,Cloud,Wanna get shot? Be my guest!,6
"Barret: Hey, it's doing that thing again!",Barret,"Hey, it's doing that thing again!",6
Cloud: Find cover and hunker down!,Cloud,Find cover and hunker down!,5
Barret: Again and again and again!,Barret,Again and again and again!,5
Cloud: Now! Go!,Cloud,Now! Go!,2
"Barret: Aw, hell, what's it doing now!?",Barret,"Aw, hell, what's it doing now!?",6
Cloud: An auto-repair unit? Dammitwe gotta take it out quick or we're screwed!,Cloud,An auto-repair unit? Dammit—we gotta take it out quick or we're screwed!,12
"Barret: Oh, I am way ahead of you, merc!",Barret,"Oh, I am way ahead of you, merc!",8
"Barret: When I get my chance, I'm gonna blow this bastard the hell up! And that's a promise!",Barret,"When I get my chance, I'm gonna blow this bastard the hell up! And that's a promise!",17
Cloud: Gotta time our attacks just right! Hold out until you spot an opening!,Cloud,Gotta time our attacks just right! Hold out until you spot an opening!,13
Cloud: It's down! Rain hell on it!,Cloud,It's down! Rain hell on it!,6
Barret: Ain't gotta tell me twice!,Barret,Ain't gotta tell me twice!,5
Cloud: There goes another! Now's our chance to do some real damage!,Cloud,There goes another! Now's our chance to do some real damage!,11
Barret: Shit! The bomb!,Barret,Shit! The bomb!,3
Announcement: Twenty minutes until detonation.,Announcement,Twenty minutes until detonation.,4
Announcement: Thirty minutes until detonation.,Announcement,Thirty minutes until detonation.,4
"Barret: Hah, you hear that? Damn thing showed you how it's done!",Barret,"Hah, you hear that? Damn thing showed you how it's done!",11
"Cloud: Come on, we've gotta move.",Cloud,"Come on, we've gotta move.",5
"Barret: Wedge should be covering our way out! Go, go, go!",Barret,"Wedge should be covering our way out! Go, go, go!",10
Cloud: You okay?,Cloud,You okay?,2
"Jessie: Do I look okay!? Help a girl out, would ya!?",Jessie,"Do I look okay!? Help a girl out, would ya!?",10
Jessie: My hero!,Jessie,My hero!,2
Barret: Hey! We'll link up over there! Look after Jessie!,Barret,Hey! We'll link up over there! Look after Jessie!,9
Jessie: Come this way! This route should lead us straight to Barret! Probably!,Jessie,Come this way! This route should lead us straight to Barret! Probably!,12
Jessie: I think I see an exit. Come on!,Jessie,I think I see an exit. Come on!,8
"Jessie: Don't look back! Let's go, let's go, let's go!",Jessie,"Don't look back! Let's go, let's go, let's go!",9
Jessie: We're running out of time!,Jessie,We're running out of time!,5
Cloud: Shut up and climb. You're not helping.,Cloud,Shut up and climb. You're not helping.,7
"Jessie: Sorry, it just It keeps me focused! I'll freak out if I don't talk!",Jessie,"Sorry, it just— It keeps me focused! I'll freak out if I don't talk!",14
Cloud: Have it your way.,Cloud,Have it your way.,4
Jessie: Barret,Jessie,Barret—,1
Barret: I've got you covered. Find us a way outta here!,Barret,I've got you covered. Find us a way outta here!,10
Jessie: But then,Jessie,But then—,2
"Barret: Don't worry, I'll be fine. I've got SOLDIER boy with me!",Barret,"Don't worry, I'll be fine. I've got SOLDIER boy with me!",11
Cloud: Ex-SOLDIER boy.,Cloud,Ex-SOLDIER boy.,2
Security Officer (1): They're here!,Security Officer ,They're here!,2
Security Officer (2): Take 'em down!,Security Officer ,Take 'em down!,3
Barret: We don't have time for this shit! The clock's ticking!,Barret,We don't have time for this shit! The clock's ticking!,10
Cloud: Cool it. Five seconds is all we need.,Cloud,Cool it. Five seconds is all we need.,8
Barret: You don't look so good. Take care of those wounds before you bleed out.,Barret,You don't look so good. Take care of those wounds before you bleed out.,14
Barret: Let's go! The others are waiting! Gotta get the hell outta here ASAP...,Barret,Let's go! The others are waiting! Gotta get the hell outta here ASAP...,13
Barret: Ugh! This is all we need!,Barret,Ugh! This is all we need!,6
Cloud: You got that right.,Cloud,You got that right.,4
Barret: Heads up! We got a whole lotta company!,Barret,Heads up! We got a whole lotta company!,8
Cloud: No shit.,Cloud,No shit.,2
Barret: Whoa! Ain't you a feisty one!,Barret,Whoa! Ain't you a feisty one!,6
Cloud: Like a rook seeing his first action...,Cloud,Like a rook seeing his first action...,7
Heidegger: Sir.,Heidegger,Sir.,1
"Barret: Come on...come on, come on, come on!",Barret,"Come on...come on, come on, come on!",7
Jessie: Door's open!,Jessie,Door's open!,2
Barret: Bada-bing bada-boombam!,Barret,Bada-bing bada-boom—bam!,2
"Jessie: We don't have a lot of time here! Pick up the pace, people!",Jessie,"We don't have a lot of time here! Pick up the pace, people!",13
Wedge: Over here! This way!,Wedge,Over here! This way!,4
Cloud: Can you walk?,Cloud,Can you walk?,3
"Jessie: If I couldn't, believe me, you'd be the first to know.",Jessie,"If I couldn't, believe me, you'd be the first to know.",11
Cloud: I'll take that as a yes.,Cloud,I'll take that as a yes.,6
Jessie: Cloud!,Jessie,Cloud!,1
"Jessie: Okay,thatwas pretty cool.",Jessie,"Okay, that was pretty cool.",3
Jessie: All right. Come on!,Jessie,All right. Come on!,4
Barret: Looks like we made it. And with nothing but a few scratches to show,Barret,Looks like we made it. And with nothing but a few scratches to show—,14
Barret: Think you might've overdone it?,Barret,Think you might've overdone it?,5
Jessie: I followed the instructions to the letter. Maybe it triggered a reaction with the mako?,Jessie,I followed the instructions to the letter. Maybe it triggered a reaction with the mako?,15
"Barret: Well, let's hope this city's still in one piece.",Barret,"Well, let's hope this city's still in one piece.",9
"Biggs: But the planet's what matters, right?",Biggs,"But the planet's what matters, right?",6
Biggs: I mean...this must've helpedsome.,Biggs,I mean...this must've helped some.,4
"Jessie: After all that, it better have. Anyway, let's get going. We in Sector 8?",Jessie,"After all that, it better have. Anyway, let's get going. We in Sector 8?",14
Wedge: That'd be just down there!,Wedge,That'd be just down there!,5
"Barret: All right, then. Lead the way.",Barret,"All right, then. Lead the way.",6
Wedge: You got it!,Wedge,You got it!,3
Wedge: Watch out for live wires. They're everywhere.,Wedge,Watch out for live wires. They're everywhere.,7
"Biggs: Ugh, the air in here reeks. Can't wait to get out in the open!",Biggs,"Ugh, the air in here reeks. Can't wait to get out in the open!",14
"Biggs: (sniffs) Man, whatisthat? I've never smelled anything so foul. (sniffs) Aw, it's me. Gotta do something about that, and soon.",Biggs,"(sniffs) Man, what is that? I've never smelled anything so foul. (sniffs) Aw, it's me. Gotta do something about that, and soon.",20
Wedge: I felt that one in my guts...,Wedge,I felt that one in my guts...,7
Biggs: They just keep on coming.,Biggs,They just keep on coming.,5
Barret: We need to get out of this place.,Barret,We need to get out of this place.,8
Jessie: Was it the mako density? The primary explosive? The blasting agent?,Jessie,Was it the mako density? The primary explosive? The blasting agent?,11
"Biggs: Hey, we can figure that out later.",Biggs,"Hey, we can figure that out later.",7
Wedge: Ugh. I'm running on empty here...,Wedge,Ugh. I'm running on empty here...,6
Barret: You can refuel at the base.,Barret,You can refuel at the base.,6
"Wedge: Next time, I'll have to bring a little pick-me-up.",Wedge,"Next time, I'll have to bring a little pick-me-up.",9
Jessie: How much farther do we have to go?,Jessie,How much farther do we have to go?,8
Wedge: Not far!,Wedge,Not far!,2
Wedge: That's about as good a place as any.,Wedge,That's about as good a place as any.,8
Jessie: Stand back then. I'll set the bomb.,Jessie,Stand back then. I'll set the bomb.,7
"Barret: Can't wait to see you, Marlene.",Barret,"Can't wait to see you, Marlene.",6
Biggs: Can't wait to take a hot shower.,Biggs,Can't wait to take a hot shower.,7
Jessie: She's good to go.,Jessie,She's good to go.,4
Jessie: Fire in the hole!,Jessie,Fire in the hole!,4
Biggs: You sure told those doors.,Biggs,You sure told those doors.,5
Jessie: Let that be a lesson to anything that gets in my way!,Jessie,Let that be a lesson to anything that gets in my way!,12
On-screen: Sector 8 Business District,On-screen,Sector 8 Business District,4
"Announcement: Attention all citizens. Attention all citizens. This is an alert from the Shinra Emergency Operations Center. Unidentified intruders have detonated a bomb inside Mako Reactor 1. Multiple explosions have been confirmed, as well as ongoing fires. In response, a disaster warning has been issued in Sectors 1 and 8. Structures in the area are at high risk of collapse, rendering the entire sector hazardous.",Announcement,"Attention all citizens. Attention all citizens. This is an alert from the Shinra Emergency Operations Center. Unidentified intruders have detonated a bomb inside Mako Reactor 1. Multiple explosions have been confirmed, as well as ongoing fires. In response, a disaster warning has been issued in Sectors 1 and 8. Structures in the area are at high risk of collapse, rendering the entire sector hazardous.",64
Jessie: No... No way.,Jessie,No... No way.,3
Biggs: This couldn't have been us...could it?,Biggs,This couldn't have been us...could it?,6
Wedge: But what if it was...?,Wedge,But what if it was...?,5
Cloud: What's done is done.,Cloud,What's done is done.,4
"Barret: Merc's right. It ain't pretty, but we can't stop now. This was just the first reactor. And the planet won't be safe till we get the rest.",Barret,"Merc's right. It ain't pretty, but we can't stop now. This was just the first reactor. And the planet won't be safe till we get the rest.",27
Biggs: Yeah... We always knew this was gonna get messy.,Biggs,Yeah... We always knew this was gonna get messy.,9
Wedge: And this is only the beginning...,Wedge,And this is only the beginning...,6
"Barret: Y'all gotta look at the bigger picture here. Nothing worth fighting for was ever won without sacrifice. Though you may not be crying out, I know you're in painjust like the planet. But it's okay, 'cause I'm here for you! To help take the load off your shoulders!",Barret,"Y'all gotta look at the bigger picture here. Nothing worth fighting for was ever won without sacrifice. Though you may not be crying out, I know you're in pain—just like the planet. But it's okay, 'cause I'm here for you! To help take the load off your shoulders!",48
