Original,Character,Dialogue,Wordcount
"Mog:I'll assist you in any way I can, kupo.",Mog,"I'll assist you in any way I can, kupo.",9
"Warrior of Light:Very good. We shall be counting on your support, then.",Warrior of Light,"Very good. We shall be counting on your support, then.",10
"Mog:The knock back icon is your chance to perform a chain attack, kupo!",Mog,"The knock back icon is your chance to perform a chain attack, kupo!",13
"Mog:Oh no! A Flan, kupo! Good thing it's weak to Vivi's Fire spell!",Mog,"Oh no! A Flan, kupo! Good thing it's weak to Vivi's Fire spell!",13
"Vivi:F-Fire? Okay, I'll give it a try!",Vivi,"F-Fire? Okay, I'll give it a try!",7
"Mog:Good job! Keep it up, kupo!",Mog,"Good job! Keep it up, kupo!",6
"Mog:It's an Iron Giant, kupo! One strike from that thing can be trouble!",Mog,"It's an Iron Giant, kupo! One strike from that thing can be trouble!",13
"Mog:Use Shining Shield to protect Vivi, kupo!",Mog,"Use Shining Shield to protect Vivi, kupo!",7
"Mog:Look! We closed it, kupo!",Mog,"Look! We closed it, kupo!",5
Vivi:Now we don't need to worry about those monsters anymore.,Vivi,Now we don't need to worry about those monsters anymore.,10
"Rem:No, Vivi. You forget that there's more than one Torsion.",Rem,"No, Vivi. You forget that there's more than one Torsion.",10
"Mog:Indeed, kupo! They've been cropping up all across the land.",Mog,"Indeed, kupo! They've been cropping up all across the land.",10
Warrior of Light:And it is our duty to ensure that each and every one of them is closed.,Warrior of Light,And it is our duty to ensure that each and every one of them is closed.,16
"Mog:You won't be alone! We'll find more people along the way who can help us, kupo!",Mog,"You won't be alone! We'll find more people along the way who can help us, kupo!",16
Warrior of Light:Is that man a friend of yours?,Warrior of Light,Is that man a friend of yours?,7
Vivi:Mister! We're over here!,Vivi,Mister! We're over here!,4
???:Sorry 'bout that! Was busy inspecting the area.,???,Sorry 'bout that! Was busy inspecting the area.,8
"Mog:Did you find anything, kupo?",Mog,"Did you find anything, kupo?",5
Sazh:Yeah. There's a big Torsion up ahead. Bet that's where all the monsters are coming from.,Sazh,Yeah. There's a big Torsion up ahead. Bet that's where all the monsters are coming from.,16
"Mog:Kupopo! We only just closed one and you're telling me there's another, bigger one nearby!?",Mog,"Kupopo! We only just closed one and you're telling me there's another, bigger one nearby!?",15
"Mog:Good grief, kupo... Well, I suppose it's nothing we can't handle together!",Mog,"Good grief, kupo... Well, I suppose it's nothing we can't handle together!",12
"Rem:Once we eradicate all the Torsions, will we be able to return to our respective worlds?",Rem,"Once we eradicate all the Torsions, will we be able to return to our respective worlds?",16
"Vivi:Yes, I'm certain of it! That's why we have to do our best to help them!",Vivi,"Yes, I'm certain of it! That's why we have to do our best to help them!",16
"Mog:That's the spirit, kupo! Now that Sazh is back, we can go and close the next Torsion!",Mog,"That's the spirit, kupo! Now that Sazh is back, we can go and close the next Torsion!",17
Warrior of Light:When this is all over...,Warrior of Light,When this is all over...,5
Warrior of Light:I wonder if there will even be a world left for me to return to...,Warrior of Light,I wonder if there will even be a world left for me to return to...,15
"???:Little do they know, should all go according to plan, soon they'll be dancing to the beat of my drum.",???,"Little do they know, should all go according to plan, soon they'll be dancing to the beat of my drum.",20
"???:Oh, what a spectacular show it will be!",???,"Oh, what a spectacular show it will be!",8
Mog:Red Bats are pesky creatures that use Flap to dodge your attacks!,Mog,Red Bats are pesky creatures that use Flap to dodge your attacks!,12
"Mog:But Sazh's ability Aim will hit the enemy every time, kupo!",Mog,"But Sazh's ability Aim will hit the enemy every time, kupo!",11
Mog:Kupo... Skeletons unleash a frightening attack after using Brace.,Mog,Kupo... Skeletons unleash a frightening attack after using Brace.,9
"Mog:But inflicting a BRV Break will smash it into pieces, leaving it vulnerable for a few turns!",Mog,"But inflicting a BRV Break will smash it into pieces, leaving it vulnerable for a few turns!",17
Sazh:Nasty bats nearly had us back there. Dodge every attack you throw at 'em.,Sazh,Nasty bats nearly had us back there. Dodge every attack you throw at 'em.,14
"Mog:That's why we need as many allies as possible, kupo!",Mog,"That's why we need as many allies as possible, kupo!",10
Vivi:Lookthere's someone over there!,Vivi,Look—there's someone over there!,4
"Mog:P-please, kupo! Lower your fists! We mean you no harm!",Mog,"P-please, kupo! Lower your fists! We mean you no harm!",10
???:...You don't appear to be dangerous.,???,...You don't appear to be dangerous.,6
"Sazh:We're not, but I wouldn't blame you if you turned and ran the other way. Just look at usa talking moogle, a knight...",Sazh,"We're not, but I wouldn't blame you if you turned and ran the other way. Just look at us—a talking moogle, a knight...",23
"???:You, on the other hand, seem fairly...normal. What is this place?",???,"You, on the other hand, seem fairly...normal. What is this place?",11
"Warrior of Light:While I cannot answer that with any certainty, what I can tell you is that none of us are natives of this land.",Warrior of Light,"While I cannot answer that with any certainty, what I can tell you is that none of us are natives of this land.",23
???:You mean...this isn't my world?,???,You mean...this isn't my world?,5
"Sazh:No, it isn't. It's dangerous for a little lady like you to be wandering this place alone.",Sazh,"No, it isn't. It's dangerous for a little lady like you to be wandering this place alone.",17
"???:I'm not alone. My friends are here, too. We got separated earlier.",???,"I'm not alone. My friends are here, too. We got separated earlier.",12
"???:I've been searching for them, but I keep running into monsters.",???,"I've been searching for them, but I keep running into monsters.",11
"Mog:Kupo... Up until recently, our land was a peaceful one.",Mog,"Kupo... Up until recently, our land was a peaceful one.",10
Mog:It was only after the Torsions started to appear that the beasts began terrorizing us.,Mog,It was only after the Torsions started to appear that the beasts began terrorizing us.,15
"Mog:But I have hope that tranquility will soon be restored by the light, kupo!",Mog,"But I have hope that tranquility will soon be restored by the light, kupo!",14
Warrior of Light:Perhaps she too possesses the light.,Warrior of Light,Perhaps she too possesses the light.,6
???:...I do?,???,...I do?,2
"Mog:Yes! Yes, indeed, kupo!",Mog,"Yes! Yes, indeed, kupo!",4
"Vivi:Maybe you can join us, miss?",Vivi,"Maybe you can join us, miss?",6
"???:Hm... Yes, maybe I should.",???,"Hm... Yes, maybe I should.",5
???:Perhaps then I'll finally be able to find my friends.,???,Perhaps then I'll finally be able to find my friends.,10
Tifa:I'm Tifa. I look forward to working with you.,Tifa,I'm Tifa. I look forward to working with you.,9
"Mog:Welcome aboard, kupo! You look like you can take out more than a few skeletons with those fists!",Mog,"Welcome aboard, kupo! You look like you can take out more than a few skeletons with those fists!",18
"Mog:This is fantastic, kupo! Once again our numbers have grown and soon we'll be closing Torsions faster than ever before!",Mog,"This is fantastic, kupo! Once again our numbers have grown and soon we'll be closing Torsions faster than ever before!",20
"Warrior of Light:Caution, friends. Someone is nearby.",Warrior of Light,"Caution, friends. Someone is nearby.",5
Tifa:Wait! That's...,Tifa,Wait! That's...,2
Tifa:Thank goodness it's you! I've been looking all over for you!,Tifa,Thank goodness it's you! I've been looking all over for you!,11
"Mog:You know him, kupo?",Mog,"You know him, kupo?",4
"Mog:Well, that makes my job easier! Hello, Mr. Spiky-Head!",Mog,"Well, that makes my job easier! Hello, Mr. Spiky-Head!",9
Cloud:A moogle that can talk?,Cloud,A moogle that can talk?,5
"Tifa:Well, the world we're in right now is",Tifa,"Well, the world we're in right now is—",8
Warrior of Light:Now is not the time. It seems we have company.,Warrior of Light,Now is not the time. It seems we have company.,10
Cloud:Stand back. I've got this.,Cloud,Stand back. I've got this.,5
Tifa:Cloud! You're not alone anymore! Let us help you.,Tifa,Cloud! You're not alone anymore! Let us help you.,9
"Mog:Why won't anyone listen to me, kupo?",Mog,"Why won't anyone listen to me, kupo?",7
Warrior of Light:You were quick to defeat those enemies. I'm impressed.,Warrior of Light,You were quick to defeat those enemies. I'm impressed.,9
"Tifa:Cloud, what you're doing is reckless!",Tifa,"Cloud, what you're doing is reckless!",6
"Tifa:You don't know anything about this world...so let's stick together, okay?",Tifa,"You don't know anything about this world...so let's stick together, okay?",11
"Mog:She's right, kupo! Besides, you possess the will of the light. We can save this world together.",Mog,"She's right, kupo! Besides, you possess the will of the light. We can save this world together.",17
Cloud:Not interested.,Cloud,Not interested.,2
Sazh:Looks like other worlds also have their fair share of strongheaded soldiers who take on way too much alone.,Sazh,Looks like other worlds also have their fair share of strongheaded soldiers who take on way too much alone.,19
"Sazh:Cloud, was it? What's your game plan?",Sazh,"Cloud, was it? What's your game plan?",7
Cloud:There's someone I need to settle things with.,Cloud,There's someone I need to settle things with.,8
Sazh:And do you have any idea where this someone is? Sure you don't need any help?,Sazh,And do you have any idea where this someone is? Sure you don't need any help?,16
"Sazh:This moogle's the only one who knows anything about this world. Besides, what've you gotta lose?",Sazh,"This moogle's the only one who knows anything about this world. Besides, what've you gotta lose?",16
Cloud:Maybe you're right.,Cloud,Maybe you're right.,3
"Cloud:All right, I'll go with you. Just don't get in my way.",Cloud,"All right, I'll go with you. Just don't get in my way.",12
Sazh:We won't. We're on your side.,Sazh,We won't. We're on your side.,6
"Mog:Then it's settled! Great having you aboard, kupo!",Mog,"Then it's settled! Great having you aboard, kupo!",8
Tifa:Looks like it's you and me again!,Tifa,Looks like it's you and me again!,7
"Mog:The more the merrier! You can never have too many friends, kupo!",Mog,"The more the merrier! You can never have too many friends, kupo!",12
???:Why me? Why do bad things always happen to me?,???,Why me? Why do bad things always happen to me?,10
Sazh:Huh? Is that...!?,Sazh,Huh? Is that...!?,3
???:Wait. Is that an exit over there?,???,Wait. Is that an exit over there?,7
"Mog:Do you know him, kupo?",Mog,"Do you know him, kupo?",5
Sazh:Do I know him? He's one of my buddies from my world!,Sazh,Do I know him? He's one of my buddies from my world!,12
Mog:Kupopo! I sensed a strong will of the light from him!,Mog,Kupopo! I sensed a strong will of the light from him!,11
"Sazh:But he's still just a kid, you know? I mean, he's older than Vivi...",Sazh,"But he's still just a kid, you know? I mean, he's older than Vivi...",14
"Vivi:You're really worried about him, aren't you?",Vivi,"You're really worried about him, aren't you?",7
"Sazh:Yeah, I have a son of my own, so I can't just... Sorry, this isn't the time to be getting sentimental.",Sazh,"Yeah, I have a son of my own, so I can't just... Sorry, this isn't the time to be getting sentimental.",21
Warrior of Light:Getting out of here alone is not a simple task. We must find him quickly.,Warrior of Light,Getting out of here alone is not a simple task. We must find him quickly.,15
"Mog:Let's help him and get him to join us, kupo!",Mog,"Let's help him and get him to join us, kupo!",10
Sazh:Hope!,Sazh,Hope!,2
Hope:Where are we? And who are they? And why are they,Hope,Where are we? And who are they? And why are they—,11
"Sazh:Relax, relax. They may look a little different, but they're on our side.",Sazh,"Relax, relax. They may look a little different, but they're on our side.",13
"Mog:Your name's Hope, kupo?",Mog,"Your name's Hope, kupo?",4
Hope:Did that moogle just talk? This is some kind of ultra-realistic toy...right?,Hope,Did that moogle just talk? This is some kind of ultra-realistic toy...right?,12
"Mog:I'm not a toy, kupo! More importantly, I have something I need to tell you!",Mog,"I'm not a toy, kupo! More importantly, I have something I need to tell you!",15
"Mog:...And that's the situation we're in right now, kupo.",Mog,"...And that's the situation we're in right now, kupo.",9
"Warrior of Light:And you, Hope, also possess the will of the light. You are one of us.",Warrior of Light,"And you, Hope, also possess the will of the light. You are one of us.",15
Hope:The will of the light? M-me? Are you sure?,Hope,The will of the light? M-me? Are you sure?,9
"Mog:I'm positive, kupo! Trust me.",Mog,"I'm positive, kupo! Trust me.",5
"Sazh:At any rate, we gotta do something about this world if we ever plan on going back to our own.",Sazh,"At any rate, we gotta do something about this world if we ever plan on going back to our own.",20
"Sazh:So come with us. It's safer that way, you know?",Sazh,"So come with us. It's safer that way, you know?",10
"Sazh:Besides, you'd be doing us a favor! We could use your skills.",Sazh,"Besides, you'd be doing us a favor! We could use your skills.",12
"Hope:All right, I'm in.",Hope,"All right, I'm in.",4
Hope:I'll do what I can to help.,Hope,I'll do what I can to help.,7
"Mog:Hello, kupo! What are you doing?",Mog,"Hello, kupo! What are you doing?",6
"Mog:No. Why, kupo?",Mog,"No. Why, kupo?",3
???:This forest's aether is corrupted. I can only hope that the taint has not spread much further beyond this area.,???,This forest's aether is corrupted. I can only hope that the taint has not spread much further beyond this area.,20
"Mog:Corrupted aether...? Oh, because of the Torsions! That's where the dark energy is spilling from. We're here to close them!",Mog,"Corrupted aether...? Oh, because of the Torsions! That's where the dark energy is spilling from. We're here to close them!",20
"Mog:Yes, they serve as an interdimensional portal to our world. That's where the dark energy and scary monsters are coming from, kupo.",Mog,"Yes, they serve as an interdimensional portal to our world. That's where the dark energy and scary monsters are coming from, kupo.",22
???:That would explain the sinister presence I felt earlier.,???,That would explain the sinister presence I felt earlier.,9
"Mog:The will of the light radiates strongly from you. Will you help us, kupo?",Mog,"The will of the light radiates strongly from you. Will you help us, kupo?",14
???:Hm... Working with a group would certainly facilitate my investigation.,???,Hm... Working with a group would certainly facilitate my investigation.,10
"Mog:Hooray, ku!",Mog,"Hooray, ku—!",2
"???:I am afraid, however, that I must decline. There is another matter I must attend to first.",???,"I am afraid, however, that I must decline. There is another matter I must attend to first.",17
Mog:What if we can help you? Would you join us then?,Mog,What if we can help you? Would you join us then?,11
"???:Perhaps. But before we discuss this any further, I ask that you draw your swords.",???,"Perhaps. But before we discuss this any further, I ask that you draw your swords.",15
???:It seems we've been joined by a few uninvited guests.,???,It seems we've been joined by a few uninvited guests.,10
"Mog:A-are they gone, kupo?",Mog,"A-are they gone, kupo?",4
???:I believe so. I can no longer feel their presence.,???,I believe so. I can no longer feel their presence.,10
"Mog:Good! So what do you say? Will you join us, kupo?",Mog,"Good! So what do you say? Will you join us, kupo?",11
"???:Having witnessed your incredible strength first-hand, I would be honored to call you allies.",???,"Having witnessed your incredible strength first-hand, I would be honored to call you allies.",14
???:Please allow me to properly introduce myself. I am Y'shtola.,???,Please allow me to properly introduce myself. I am Y'shtola.,10
"Y'shtola:I am well versed in the art of Conjury, and believe my talents will serve you well.",Y'shtola,"I am well versed in the art of Conjury, and believe my talents will serve you well.",17
"Mog:How exciting, kupo! Another friend possessed of the light has agreed to lend a hand to our cause!",Mog,"How exciting, kupo! Another friend possessed of the light has agreed to lend a hand to our cause!",18
Y'shtola:I take it that having this light is essential to one's ability to close Torsions?,Y'shtola,I take it that having this light is essential to one's ability to close Torsions?,15
"Mog:That's right, kupo! ...But I don't know how it works...",Mog,"That's right, kupo! ...But I don't know how it works...",10
Y'shtola:Fascinating... Perhaps there is more to this world than meets the eye.,Y'shtola,Fascinating... Perhaps there is more to this world than meets the eye.,12
Rem:I have a bad feeling about this. The monsters in this area are acting very strangely.,Rem,I have a bad feeling about this. The monsters in this area are acting very strangely.,16
"Mog:That means there's a Torsion nearby, kupo!",Mog,"That means there's a Torsion nearby, kupo!",7
Warrior of Light:Yes. I can feel it...and something else.,Warrior of Light,Yes. I can feel it...and something else.,7
"Warrior of Light:Everyone, be on your guard. There is something far more malevolent than mere monsters lurking about.",Warrior of Light,"Everyone, be on your guard. There is something far more malevolent than mere monsters lurking about.",16
Vivi:M-more malevolent than monsters!? I don't like the sound of that...,Vivi,M-more malevolent than monsters!? I don't like the sound of that...,11
Vivi:Wait! Please don't leave me behind!,Vivi,Wait! Please don't leave me behind!,6
???:Ah... There you are.,???,Ah... There you are.,4
???:Why must you insist on always ruining my fun?,???,Why must you insist on always ruining my fun?,9
"Mog:That was a close one, kupo! Counter with a summon!",Mog,"That was a close one, kupo! Counter with a summon!",10
Cloud:Is that it?,Cloud,Is that it?,3
Sazh:And more importantly did getting rid of it solve our monster problem?,Sazh,And more importantly did getting rid of it solve our monster problem?,12
Tifa:I think so. Their numbers seem to have diminished at the very least.,Tifa,I think so. Their numbers seem to have diminished at the very least.,13
"Y'shtola:You must remember, however, that this is not the only Torsion that plagues this world.",Y'shtola,"You must remember, however, that this is not the only Torsion that plagues this world.",15
"Mog:Indeed, kupo! Our job is far from over.",Mog,"Indeed, kupo! Our job is far from over.",8
Mog:But if we continue working together I'm sure we'll accomplish our goal in no time!,Mog,But if we continue working together I'm sure we'll accomplish our goal in no time!,15
Tifa:Then let's keep going.,Tifa,Then let's keep going.,4
"Mog:Yes, kupo! Our next destination: the lands beyond the northern sea!",Mog,"Yes, kupo! Our next destination the lands beyond the northern sea!",11
"Mog:And before you ask how we're going to get there, we'll be going by airship, kupo!",Mog,"And before you ask how we're going to get there, we'll be going by airship, kupo!",16
Sazh:Airship? Excellent. That's just my style.,Sazh,Airship? Excellent. That's just my style.,6
Cloud:Are you a pilot or something?,Cloud,Are you a pilot or something?,6
Hope:Only the best! How could you tell?,Hope,Only the best! How could you tell?,7
Cloud:I have a friend a lot like him.,Cloud,I have a friend a lot like him.,8
Sazh:Let's go! I can't wait to see how this baby flies!,Sazh,Let's go! I can't wait to see how this baby flies!,11
Materia:I see you were successful in closing the Torsion and averting disaster. Thank you.,Materia,I see you were successful in closing the Torsion and averting disaster. Thank you.,14
"Mog:Of course, kupo! It's my duty after all!",Mog,"Of course, kupo! It's my duty after all!",8
"Mog:And not to toot my own horn, but I've also managed to find four new warriors!",Mog,"And not to toot my own horn, but I've also managed to find four new warriors!",16
Materia:Indeed. And each and every one of them has demonstrated enormous promise.,Materia,Indeed. And each and every one of them has demonstrated enormous promise.,12
"Materia:I fear, however, that the darkness continues to grow stronger.",Materia,"I fear, however, that the darkness continues to grow stronger.",10
"Mog:Wh-what do you mean, kupo?",Mog,"Wh-what do you mean, kupo?",5
Materia:Whoever is responsible has been attempting to bend the Torsions to their own will.,Materia,Whoever is responsible has been attempting to bend the Torsions to their own will.,14
"Mog:That sounds very dangerous, kupo! We must proceed with the utmost caution then!",Mog,"That sounds very dangerous, kupo! We must proceed with the utmost caution then!",13
"Materia:Yes. And remember, Mog, among the warriors you will encounter is one who knows the darkness.",Materia,"Yes. And remember, Mog, among the warriors you will encounter is one who knows the darkness.",16
"Materia:When all is lost, you best turn to him for guidance.",Materia,"When all is lost, you best turn to him for guidance.",11
"Mog:Yes, kupo!",Mog,"Yes, kupo!",2
Sazh:We're here!,Sazh,We're here!,2
"Vivi:That was amazing! You really are a great pilot, Mister!",Vivi,"That was amazing! You really are a great pilot, Mister!",10
"Sazh:It's easy once you know the basics. Shame we couldn't fly in any closer, though.",Sazh,"It's easy once you know the basics. Shame we couldn't fly in any closer, though.",15
"Mog:Sadly, there aren't any areas we can safely land the airship beyond this point, kupo.",Mog,"Sadly, there aren't any areas we can safely land the airship beyond this point, kupo.",15
"Cloud:Whatever. We can walk from here. If anything gets in our way, I'll put it down.",Cloud,"Whatever. We can walk from here. If anything gets in our way, I'll put it down.",16
Tifa:And who knows? Maybe we'll make some new friends along the way.,Tifa,And who knows? Maybe we'll make some new friends along the way.,12
Warrior of Light:Where exactly do we need to go?,Warrior of Light,Where exactly do we need to go?,7
"Mog:North, kupo! To where the ancient ruins are.",Mog,"North, kupo! To where the ancient ruins are.",8
"Mog:The time-space continuum has been heavily distorted in that region, which means a Torsion is close by!",Mog,"The time-space continuum has been heavily distorted in that region, which means a Torsion is close by!",17
Tifa:Ruins? I guess your world isn't that much different from ours.,Tifa,Ruins? I guess your world isn't that much different from ours.,11
"Zidane:You've been gathering an army of beasts. What do you intend to do with them, Kuja!?",Zidane,"You've been gathering an army of beasts. What do you intend to do with them, Kuja!?",16
Kuja:You of all people should understand! If you've come all this way to mock me,Kuja,You of all people should understand! If you've come all this way to mock me—,15
Zidane:Mock you? I'm here to,Zidane,Mock you? I'm here to—,5
"Vivi:Oh! That's him, everyonethe friend I was telling you about! And he's with that man...",Vivi,"Oh! That's him, everyone—the friend I was telling you about! And he's with that man...",15
Kuja:Bearers of light... How inconvenient.,Kuja,Bearers of light... How inconvenient.,5
Warrior of Light:That manhe just opened a Torsion!,Warrior of Light,That man—he just opened a Torsion!,6
Zidane:No! I can't believe he got away!,Zidane,No! I can't believe he got away!,7
Vivi:I-I'm sorry... It's all my fault.,Vivi,I-I'm sorry... It's all my fault.,6
"Zidane:Don't worry about it, Vivi. I""m just glad you're safe. ...That said, who are these pretty ladies?",Zidane,"Don't worry about it, Vivi. I""m just glad you're safe. ...That said, who are these pretty ladies?",17
Tifa:I'm Tifa. I take it you're Vivi's friend?,Tifa,I'm Tifa. I take it you're Vivi's friend?,8
"Vivi:Yes! His name is Zidane. He's really, really strong and reliable!",Vivi,"Yes! His name is Zidane. He's really, really strong and reliable!",11
"Zidane:Aw, Vivistop it! You're making me blush. And you might be...?",Zidane,"Aw, Vivi—stop it! You're making me blush. And you might be...?",11
Rem:I'm Rem. It seems we come from very different places.,Rem,I'm Rem. It seems we come from very different places.,10
"Mog:Everyone here is blessed with the lightthe power to close Torsions, kupo!",Mog,"Everyone here is blessed with the light—the power to close Torsions, kupo!",12
Zidane:Torsions...? Is that what you call the portals Kuja uses to let monsters in and out?,Zidane,Torsions...? Is that what you call the portals Kuja uses to let monsters in and out?,16
"Vivi:Yes, and that's why this world is in big trouble.",Vivi,"Yes, and that's why this world is in big trouble.",10
"Mog:Not just this world, kupo! If the Torsions continue to spread, they'll eventually reach your home, too!",Mog,"Not just this world, kupo! If the Torsions continue to spread, they'll eventually reach your home, too!",17
Zidane:So that's what he's been up to!,Zidane,So that's what he's been up to!,7
"Mog:Zidane, you also have the gift of light! Will you help us, kupo?",Mog,"Zidane, you also have the gift of light! Will you help us, kupo?",13
Zidane:I don't see why not.,Zidane,I don't see why not.,5
"Mog:Hooray, kupo! Once again, our number's grown!",Mog,"Hooray, kupo! Once again, our number's grown!",7
"Zidane:That's right. If you need someone agile, I'm your guy!",Zidane,"That's right. If you need someone agile, I'm your guy!",10
Warrior of Light:You would be the first among us capable of such feats. We would be glad to have you in our ranks.,Warrior of Light,You would be the first among us capable of such feats. We would be glad to have you in our ranks.,21
Y'shtola:A man has stepped through the Torsion!,Y'shtola,A man has stepped through the Torsion!,7
Sazh:Sweet mercy! I hope he's friendly.,Sazh,Sweet mercy! I hope he's friendly.,6
Sazh:All these armored-up soldiers look the same to me.,Sazh,All these armored-up soldiers look the same to me.,9
???:Identify yourselves!,???,Identify yourselves!,2
Sazh:Your mother not teach you any manners? You first.,Sazh,Your mother not teach you any manners? You first.,9
Sazh:Guess you really shouldn't judge a book by its cover.,Sazh,Guess you really shouldn't judge a book by its cover.,10
"Mog:I can sense the will of the light, kupo!",Mog,"I can sense the will of the light, kupo!",9
Warrior of Light:It appears that fate has guided him to us.,Warrior of Light,It appears that fate has guided him to us.,9
Cecil:The will of the light? Fate? What does any of that mean?,Cecil,The will of the light? Fate? What does any of that mean?,12
Mog:The portal you just came through is a dimensional Torsion. They're what's destroying our world.,Mog,The portal you just came through is a dimensional Torsion. They're what's destroying our world.,15
