Character,clean_dialogue,narrative_type,plot_unit_id
Tifa,Hmm. You've grown up. When you were little you used to get into fights at the drop of a hat.,narration,19
On-screen,Please enter a name.,system,19
Tifa,"Flowers? How nice... You almost never see them here in the slums. But... A flower for me? Oh Cloud, you shouldn't have...",narration,19
Cloud,No big.,narration,19
Tifa,"Thank you, Cloud. It smells wonderful. Maybe I should fill the store with flowers. Cloud, this one still has roots. I can probably start others from it.",narration,20
Tifa,I'm so glad everyone's safe.,narration,20
Biggs,Aaah!! Nothin' like that first drink after a job. Hic!! Why don't you have one too?,dialogue,20
Biggs,What!? You tellin' me you're too good to drink with me? Don't act big-headed jus' because you were in SOLDIER!,action,20
Biggs,"Oh!! That's more like it!! Even if you were with SOLDIER, you're still a rookie here. So you'd better listen to whatever I tell ya!",dialogue,20
Biggs,Hic...!! Oh...... Don't tell Barret what I jus said.,dialogue,20
Wedge,"Oh, Cloud! Tifa really knows how to cook. Mmm, mmm...... Anyway, let me tell you somethin'",dialogue,20
Wedge,"Tifa always lets me taste her cooking. And look at me now, I'm rolly-polly. Don't know whether I should be happy or sad. But it's the good food and drinks that make this shop famous.",action,20
Wedge,Cloud...... ......forget it.,narration,21
Jessie,Careless...... You're getting all excited. Wonder what for......?,dialogue,21
Marlene,............,narration,21
Tifa,"Sorry, Cloud. Marlene seems a little shy.",narration,21
Marlene,"Papa, welcome home!",narration,21
Barret,Yeah. Huh? Where'd you get that flower?,narration,21
Marlene,Cloud gave it to me.,narration,21
Barret,Oh...... Did you thank him? ............,narration,21
Marlene,"Thank you, Cloud. We'll take care of you.",narration,22
Tifa,"You all right, Barret?",narration,22
Barret,Great!!,narration,22
Barret,"Get in here, fools!! We're startin' the meetin'!!",narration,22
Tifa,Cloud... come over here.,narration,22
Tifa,Sit down. How about... ...something to drink?,narration,22
Tifa,"OHH!! I can make a drink just as good as anyone else. Everyone says, my drinks taste the best!",action,22
Tifa,Just a minute. I'll make one for you.,narration,22
Tifa,"You know, I'm relieved you made it back safely.",narration,23
Cloud,What's with you all of a sudden? That wasn't even a tough job.,dialogue,23
Tifa,I guess not... You were in SOLDIER. Make sure you get your pay from Barret.,narration,23
Cloud,"Don't worry. Once I get that money, I'm outta here.",narration,23
Tifa,Cloud. Are you feeling all right?,narration,23
Cloud,...yeah... Why?,dialogue,23
Tifa,No reason. You just look a little tired I guess.,narration,23
Tifa,You'd better go down below.,action,23
President Shinra,".........today the No.1 Reactor was bombed. The terrorist group AVALANCHE has claimed responsibility for the bombing. It is expected that AVALANCHE will continue its reign of terror. But citizens of Midgar, there is no need to fear. I have immediately mobilized SOLDIER to protect our citizenry against this senseless violence. Thank you and good night.",action,24
Wedge,You think I'm a little too uptight?,narration,24
Wedge,"The next mission will be to blow up the Sector 5 Reactor. Cloud, you're great! Don't you ever get nervous? Or are you like, impervious to feelings? Naw, that couldn't be it.",narration,24
Wedge,"Well, that's ok. Don't worry about me. I don't look like it, but I'm a coward at heart.",narration,24
Jessie,"Oops... Hey, look at the news... What a blast. Think it was all because of my bomb? But all I really did was just make it like the computer told me. Oh no! I must've made a miscalculation somewhere.",dialogue,24
Jessie,"Hey, that was my bomb's debut. Makes me kinda proud.",narration,24
Barret,"Yo, Cloud! There's somethin' I wanna ask ya. Was there anyone from SOLDIER fighting us today?",dialogue,24
Cloud,None. I'm positive.,narration,24
Barret,You sound pretty sure.,narration,25
Cloud,If there was anyone from SOLDIER you wouldn't be standing here now.,narration,25
Barret,Don't go thinkin' you so bad jes cuz you was in SOLDIER.,action,25
Cloud,............,narration,25
Barret,"Yeah, you're strong. Probably all them guys in SOLDIER are. But don't forget that your skinny ass's workin' for AVALANCHE now! Don't get no ideas 'bout hangin' on to Shinra.",narration,25
Cloud,Stayin' with Shinra? You asked me a question and I answered it...that's all.,dialogue,25
Cloud,I'm going upstairs. I want to talk about my money.,action,25
Barret,Shucks!! ............money...,narration,25
Marlene,"Papa, you're so great!",narration,26
Tifa,"Wait, Cloud!",action,26
Barret,Tifa! Let him go! Looks like he still misses the Shinra!,action,26
Cloud,Shut up! I don't care about either Shinra or SOLDIER! But don't get me wrong! I don't care about AVALANCHE or the Planet for that matter!,narration,26
Wedge,".......Cloud. You say you don't care, but you came to talk to me. Cloud... You just want friends. Isn't that right?",dialogue,26
Wedge,"Yeah, well. You look kind of lonely to me. If you ever got anything you want to get off your chest, you can always talk to me.",action,26
Wedge,You're terrible. Real cold blooded.,narration,26
Jessie,"Money... Oh my. It must have been for a lot of it. Sure! Well, what the hell? It's a verbal agreement. Now let me figure this out. Oh stop it, Cloud! Did you hear me?",dialogue,26
Tifa,Straighten things up with everyone for me.,narration,27
Tifa,"Listen, Cloud. I'm asking you. Please join us.",dialogue,27
Cloud,Sorry Tifa...,narration,27
Tifa,The Planet is dying. Slowly but surely it's dying. Someone has to do something.,narration,27
Cloud,So let Barret and his buddies do something about it. It's got nothin' to do with me.,action,27
Barret,You damn right we'll do something about it. N' you stay outta this Tifa!,narration,27
Tifa,So! You're really leaving !? You're just going to walk right out ignoring your childhood friend !?,action,27
Cloud,What......?,dialogue,27
Tifa,"......You forgot the promise, too.",action,28
Cloud,Promise?,narration,28
Tifa,So you DID forget.,narration,28
Tifa,Remember......Cloud. It was seven years ago...,action,28
Tifa,"Look, the well. Do you remember?",narration,28
Cloud,"Yeah...back then. I thought you would never come, and I was getting a little cold.",narration,28
Tifa ,Sorry I'm late. You said you wanted to talk to me about something?,narration,28
Cloud ,Come this spring...I'm leaving this town for Midgar.,narration,28
Tifa ,...All boys are leaving our town.,narration,29
Cloud ,"But I'm different from all of them. I'm not just going to find a job. I want to join SOLDIER. I'm going to be the best there is, just like Sephiroth!",action,29
Tifa ,Sephiroth... The Great Sephiroth. Isn't it hard to join SOLDIER?,narration,29
Cloud ,...I probably won't be able to come back to this town for a while.,narration,29
Cloud ,...huh?,narration,29
Tifa ,Will you be in the newspapers if you do well?,narration,29
Cloud ,I'll try.,narration,29
Tifa ,"Hey, why don't we make a promise? Umm, if you get really famous and I'm ever in a bind...... You come save me, all right?",dialogue,29
Cloud ,What?,dialogue,30
Tifa ,"Whenever I'm in trouble, my hero will come and rescue me. I want to at least experience that once.",narration,30
Cloud ,What?,dialogue,30
Cloud ,"Ha, ha, ha! What's that!",dialogue,30
Tifa ,You're laughing at me!,narration,30
Tifa ,Come on--! Promise me----!,narration,30
Cloud ,All right......I promise.,narration,30
Tifa,"You remember now, don't you... our promise?",narration,30
Cloud,I'm not a hero and I'm not famous. I can't keep......the promise.,narration,31
Tifa,"But you got your childhood dream, didn't you? You joined SOLDIER. So come on! You've got to keep your promise......",action,31
Barret,Wait a sec big-time SOLDIER! A promise is a promise! Here!!,action,31
On-screen,"Received Barret's stash, 1500 gil!",system,31
Cloud,This is my pay? Don't make me laugh.,narration,31
Tifa,What? Then you'll...!!,dialogue,31
Cloud,You got the next mission lined up? I'll do it for 3000.,action,31
Barret,What......!?,dialogue,31
Tifa,"It's ok, it's ok.",narration,32
Tifa,"psst, psst......",narration,32
Barret,Uh......ugh......,narration,32
Barret,2000!,narration,32
Tifa,"Thanks, Cloud.",narration,32
Tifa,Good Morning! Cloud! Did you sleep well?,action,32
Tifa,psstpsst...,narration,32
Tifa,I don't know what you mean.,dialogue,32
Tifa,I'm going this time.,action,33
Barret,Our target's the Sector 5 Reactor. Head for the station first. I'll fill you in on the train.,narration,33
Barret,"Yo! Cloud! Before the next mission, I got somethin' I wanna ask you! I, uh,...... I don't really know how to use Materia! I'll give you that Materia you found. Just teach me how to use it!",action,33
Cloud,...sigh...,narration,33
Cloud,"Sure, I'll explain how Materia works. First, access the menu. You know the basic functions. The triangle button brings up the menu. Directional buttons move the cursor, like this. Select each menu by using the OK button. If you want to leave the menu, just push the CANCEL button. See? Let's go ahead. Now you're in this menu. Select  sub menu. Select who you want to use it. Now look at my weapon here. Each weapon and armor has slots in it. Choose which slot you want to put Materia in. Now select the Materia you want to use. This is curative Materia. If you want to know what its effect is, line the cursor up with , and push the OK button. It's just like selecting battle commands. Just line the cursor up to , you can see that the available magic has increased. Now you can use new magic . And that's all there is to equipping Materia. See? It wasn't that tough! When you want to remove any Materia, it's as easy as pointing to the materia slot, and pushing the triangle button. There's just one thing you have to be careful of. Whenever you equip Materia, your situation changes. Parts of you may become stronger... while others get weaker. Normally, when you equip  Materia, your magic power will get stronger. But your physical strength weakens. So, Materia's kind of a double-edged sword. On the left side of the screen, you can see the Materia's effect on you. It's wise not to overuse Magic Materia. But try out various things. Push the CANCEL button to exit the sub menu. Ok, that's about it. I'll give you some advanced tips later.",action,33
Barret,"Shi......! What's this 'It wasn't that tough!' crap! I'm clueless...... Well, you handle the Materia then!",dialogue,33
Barret,"So this is what makes them guys in SOLDIER so great, huh!? Ok. I'll ask Jessie again later. But you're in charge of the Materia!",dialogue,33
On-screen,Access the menu and select  to equip Materia.,system,33
Tifa,I'm going this time.,action,34
Tifa,Cloud! I got a message from the Weapon Shop man upstairs. He has something he wants to give you. Don't forget!,action,34
Tifa,"Marlene, you watch the store while we're gone!",action,34
Marlene,All right!! Good Luck.,action,34
Marlene,Take care!,narration,34
Barret,YO! Looks like this ain't no private car!! So split up!!,narration,34
Shinra Manager,"...hoodlums again. God, don't I just have all the luck...",action,34
Barret,You say sumthin' ?,dialogue,34
Barret,"I said, 'you say sumthin'!?",dialogue,35
Barret,"Yo, look at that!! It got empty alluva sudden. What's goin' on?",action,35
Shinra Manager,"DAMN!! I...it's empty because of... g, guys like you... Y, Y, YIPES!! You...you've seen the news, right? AVALANCHE says there'll be more bombings. Only devoted employees like me would go to Midgar on a day like today.",action,35
Barret,You workin' for Shinra?,narration,35
Shinra Manager,I won't give in to violence... and I'm not giving you my seat either!,narration,35
Tifa,Barret!!,narration,35
Barret,&$#%!! You lucky ^$#^$.!,narration,35
Cloud,"So, what are we gonna do now?",action,35
Barret,Shit! The hell you so calm about? You bustin' up my rhythm...,narration,36
Tifa,Seems like they just finished connecting the cars. We're finally leaving.,narration,36
Cloud,So what's our next target?,dialogue,36
Barret,Hah! Listen to Mr. Serious-about-his-work!,narration,36
Barret,"Awright...I'll tell ya! Jessie's probably already told you, but there's a security check point at the top plate. It's an ID scan system checkin' all the trains.",dialogue,36
Tifa,Which Shinra is very proud of.,narration,36
Barret,We can't use our fake ID's anymore...,narration,36
On-screen,"Good Morning, and welcome to Midgar lines. Arrival time at Sector 4 Station will 1145.",system,36
Tifa,That means we've got only three more minutes to the ID Check point.,action,37
Barret,"Alright, in three minutes, we're jumpin' off this train. Got it!?",action,37
Tifa,"Cloud, come over here! Let's look at the Railway Map Monitor.",narration,37
Barret,"Yo, Mr. know-it-all, big time SOLDIER! You oughta know the area 'round the No. 5 Reactor, right! So let's hear YOUR explanation!",narration,37
NPC,Hmmm......? You're the only ones that'll talk to me or come to my house. I'm impressed.,narration,37
Shinra Manager,Waaaaah!! Don...don't worry about me.,narration,37
Tifa,"Hmm, it looks like you've seen this already... It's all right. Come a little closer.",narration,37
Tifa,That's odd. The ID Check Point was supposed to be further down.,narration,37
On-screen,Type A Security Alert!! Unidentified passengers confirmed... A search of all cars will be conducted! Repeat!! Type A Security Alert!! Unidentified passengers confirmed... A search of all cars will be conducted!,system,38
Tifa,What's happening?,dialogue,38
Barret,What's goin' on!!,action,38
Jessie,We're in trouble. I'll explain later. Hurry! Get to the next car!,narration,38
Barret,^%#@%! Someone blew it...,narration,38
On-screen,Unidentified passengers located in Car #1 Preparing for Lock Down,system,38
Barret,Let's go! Keep it up!,action,38
On-screen,"You have 15 seconds to reach next car. Reach car 5 if you want to date Tifa/Barret, or get off earlier if you want to date Aeris/Yuffie.",system,38
NPC,Hm? ... You'd talk to me even now? I'm really impressed. Let me give you a little something as a reward.,narration,39
NPC,"If I die in the gutter, use that to revive me, okay?",narration,39
On-screen,Car #1 Locked Down Car being sent to the Station,system,39
Barret,"C'mon!! Hurry your slow ass up! That's it, huh?",narration,39
Tifa,Oh well...,narration,39
Barret,We're gonna jump outta here!! Follow me!!,action,39
Tifa,We got a lot of battles ahead of us. This's going to be tough.,action,39
On-screen,Car #1 Locked Down Upgrading to Level 2 Warning,system,39
Biggs,Hurry!,narration,40
Wedge,"They're gonna lock the door, sir!",action,40
On-screen,Unidentified passengers located in Car #2 Preparing for Lock Down,system,40
Jessie,Just run! Changing to Plan 2!,action,40
NPC,Hey... You guys are rowdy...,narration,40
NPC,"Well, just calm down.",narration,40
NPC,"Gosh!! You're adults, but you're making such noise. Please behave while you're in the train.",action,40
NPC,Hyu---n!! Hyu---n!!,narration,40
NPC,Does this mean that we're in a major bind?,narration,41
NPC,Huh? The hell?! Do you want this?,narration,41
NPC,Wow! I won't even charge you... Wha-t? Don't get used to it though.,narration,41
NPC,Wha-t? Let me know when you need me.,narration,41
NPC,Wha-t? You sure are greedy.,narration,41
 On-screen,Car #2 Locked Down Car being sent to the Station,narration,41
Barret,What!? That's it!?,dialogue,41
Tifa,That didn't do anything!,narration,41
Barret,"We'll jump from here!! Follow me, you 'spensive leech!!",action,42
Tifa,Phew-----! Be strong!,narration,42
On-screen,Car #2 Locked down Upgrading to Warning Level 3,system,42
Barret,Awright! We clear!?,narration,42
Jessie,"Not yet. They're starting another check. If we're caught, we're done for! But, don't worry. If we move up the train, car by car, we should get past it!",narration,42
On-screen,Unidentified Passengers Moving to front of Train Currently tracking location,system,42
NPC,Hee hee!!,narration,42
NPC,...nowhere to run...,action,42
NPC,By any chance... Busted?,narration,43
NPC,"Ok, then. That's that.",narration,43
NPC,I'm so--- sorry. I'll give it back...,narration,43
NPC,urrrrrrrg,narration,43
Johnny,"Later...Goodbye...Adios, Midgar!!",action,43
Johnny,sob...,narration,43
On-screen,Car #3 Locked Down Illegal ID will be taken to the station,system,43
Barret,The hell!? So this is as far as we go...?,action,43
Tifa,We were almost there.,narration,44
Barret,We're gonna jump off here!! Follow me!!,action,44
Tifa,Don't worry! Don't worry!,narration,44
On-screen,Car #3 Locked Down Upgrading to Warning Level 4,system,44
NPC,Brrrrrr...... It's terrible. Who'd expect underwear bandits in this day and age? They wiped me out!,narration,44
NPC,"Any idea what happened? All I know is, when I woke up the 3 of us were butt-naked! But I guess you couldn't relate...",dialogue,44
NPC,That scary broad made me take the bomb. Of course I couldn't very well refuse her!,narration,44
On-screen,Car #4 Locked Down Illegal ID will be taken to the Station,system,44
On-screen,Car #4 Locked Down Upgrading to maximum security alert!!,system,45
Barret,All right!! We made it!,narration,45
Barret,Yo!! This way!!,narration,45
Barret,Let's go!! We're gonna dive outta here!!,action,45
Barret,Yo!! Ain't no time to waste!! ...do something!,narration,45
Tifa,...Scary...huh.,narration,45
Cloud,Too late to be saying that now. Why'd you come along anyway?,dialogue,45
Tifa,Because...,narration,45
Barret,Hey you two! There ain't no time for that!,narration,46
Wedge,"Guess who? It's me, Wedge! Looks like things were a success.",narration,46
Wedge,I look just like my little brother in these clothes... I wonder how everyone's doin' now...?,narration,46
Jessie,"It's me, Jessie. How do I look, Cloud? Do I look good in a Shinra uniform?",action,46
Cloud,"...you look great, just like a man.",narration,46
Jessie,Yay!! I'm so happy ...I think?,narration,46
Cloud,Just concentrate on our plan.,narration,46
Jessie,"You're right, sorry.",narration,46
Tifa,Yeah!! I've made up my mind! Watch closely. I'm gonna jump!!,action,47
Cloud,You don't care if I go first?,action,47
Barret,"A leader always stays till the end. Don't worry 'bout me, just go!",action,47
Barret,Yo! Don't go gettin' your spikey-ass hurt! It's only the beginnin' of the mission!,action,47
Barret,Later! You take care of the rest!,narration,47
Barret,"Oh man...... We were forced to get this far out. We can't just go back now. We've gotta go on. Biggs, Wedge, and Jessie did good. Now, it's our turn!",action,47
Barret,"That was close. I thought we were gonna get caught... They probably don't realize that we've sneaked in yet. We should get to the reactor in no time. Biggs, Wedge, and Jessie did good. Now, it's our turn!",action,47
Barret,"Good, so far everything's going as planned. Better not let your guard down till we get to the Sector 5 reactor. Biggs, Wedge and Jessie got everything ready for us. So MOVE it.",action,47
Barret,"Well, the reactor's just down this tunnel!",narration,48
Cloud,Shinra security guards are there. ...We've got to turn back.,action,48
Soldier,You're the AVALANCHE!,narration,48
Cloud,More security's coming. It's dangerous to stay here.,narration,48
Cloud,Those light beams are the Shinra's security sensors. We can't go any further.,action,48
Cloud,"After coming this far, only an amateur'd get caught by the security sensor.",narration,48
Barret,"That's one damn tiny hole. You tellin' me to squeeze into that to get under the Plate? No way! Yo, Cloud, what're we gonna do?",action,48
Tifa,...There seems to be nothing that'll get us stuck in this duct.,narration,48
Cloud,"Yeah. If we go down this duct, we won't be able to come back up here.",action,49
Barret,"Don't be wastin' time. Never know when the Shinra'll find us. Cloud, you jes' gotta go.",action,49
Barret,"But, damn man, that thing gives me the chills.",narration,49
Barret,Whaddya mean we're not goin' in? There ain't no other way of gettin' to the Sector 5 reactor 'cept through here.,action,49
Wedge,"Cloud, this way. The reactor's up this ladder.",narration,49
Jessie,I'm sorry. The ID scan problem on the train was all my fault. I made your ID card special...... So that's why it happened... I put my heart into making it. But I failed.,dialogue,49
Jessie,"Next time, I'll give you something more decent. I'll be back at the hideout in my research room workin' on it.",narration,49
Biggs,"We're gonna pull out now. We'll meet up at the hideout. Cloud, we're countin' on you to blow the reactor!",action,49
Tifa ,Papa...,narration,50
Tifa ,Sephiroth!?,narration,50
Tifa ,"Sephiroth did this to you, didn't he!?",narration,50
Tifa ,Sephiroth...SOLDIER... Mako Reactors...Shinra...Everything! I hate them all!,narration,50
Barret,"Damn man, get a hold of yourself!",narration,50
Tifa,You all right?,narration,50
Cloud,......Tifa.,narration,50
Tifa,Mmm?,narration,50
Cloud,"No... forget...... Come on, let's hurry!",narration,51
Cloud,"I know. You're my watch, right?",narration,51
Barret,Damn straight. Tifa's old friend... That ain't good enough.,action,51
Tifa,"Let's hurry, Cloud.",narration,51
Tifa,Jessie said we all have to push the button at once.,action,51
Tifa,No good. Let's try it again.,action,51
Barret,This way!,narration,51
Barret,Shinra soldiers!?,narration,51
Barret,SHIT! What the hell's goin' on?,action,52
Cloud,...a trap...,narration,52
Barret,Presi...President Shinra?,narration,52
Tifa,Why is the President here?,dialogue,52
