plot_unit_id,character_list,dialogue_count,narrative_types,full_plot_text
16,"Jessie, Biggs, Wedge",8,"action, narration","This is a complete model of the city of Midgar. It's about a 1/10000 scale. The top plate is about 50 meters above ground. A main support structure holds the plate up in the center, and there are other support structures built in each section... psst...whisper...whisper...  Then there's No.2, No.3 all the way up to the No.8 Reactor. The 8 Reactors provide Midgar with electricity. Each town used to have a name, but no one in Midgar remembers them. Instead of names, we refer to them by numbered sectors. That's the kind of place this is.
Phew..., this is next! Look.
This is the route this train is on. The route spirals around the main support structure. We should be coming around the center area, right now. At each checkpoint, an ID sensor device is set up. It can check the identities and background on each and every passenger on the train by linking it up to the central data bank at Shinra headquarters. whisper...whisper...
Speak of the devil... That light means that we're in the ID Security Check area. ...whisper...whisper...  ...anyhow, we're almost back now. That's a relief.
...snore...heebeebeeheebee...snore...
I'm seein' stars. This sucks. I hate the dark.
I know! Next time, I'll give you one I made myself.
Oh yeah, you might regret it. I'm the type who takes things personal."
17,"Jessie, Barret, Cloud",8,"narration, dialogue, action","Okay, then I'll put a little extra effort in and make it with a BANG.
We're almost there. After talking with you, I really want to do it! I think you've lit my fuse!
Look...you can see the surface now. This city don't have no day or night. If that plate weren't there... we could see the sky.
A floating city... Pretty unsettling scenery.
Huh? Never expect ta hear that outta someone like you. ...you jes' full of surprises.
The upper world...a city on a plate... It's 'cuz of that &^#$# 'pizza', that people underneath are sufferin'! And the city below is full of polluted air. On topa that, the Reactor keeps drainin' up all the energy.
Then why doesn't everyone move onto the Plate?
Dunno. Probably 'cuz they ain't got no money. Or, maybe... 'Cuz they love their land, no matter how polluted it gets."
18,"Cloud, Barret",8,"action, narration, dialogue","I know... no one lives in the slums because they want to. It's like this train. It can't run anywhere except where its rails take it.
Yo!! Get over here, all'ya!!
Yo, Cloud! You lissen up!
This mission was a success. But don't get lazy now. The hard part's still to come! Don't y'all be scared of that explosion! Cause the next one's gonna be bigger than that! Meet back at the hideout!! Move out!
Ok! Go on ahead.
You! Cloud!! Get off your slow-movin' ass!!
Heh heh... You wanna meet your little baby?
Hey! Don' act like you don't know what I mean! I'm tellin' you..."
19,"Barret, Marlene, Tifa, On-screen, Cloud",8,"narration, action, system","Heh! Jes calm down. Can't have people suspectin' us.
Papa!!
Marlene! Aren't you going to say anything to Cloud? Welcome home, Cloud. Looks like everything went well. Did you fight with Barret?
I should have known. He's always pushing people around, and you've always been in fights ever since you were little. I was worried.
Hmm. You've grown up. When you were little you used to get into fights at the drop of a hat.
Please enter a name.
Flowers? How nice... You almost never see them here in the slums. But... A flower for me? Oh Cloud, you shouldn't have...
No big."
20,"Tifa, Biggs, Wedge",8,"narration, dialogue, action","Thank you, Cloud. It smells wonderful. Maybe I should fill the store with flowers. Cloud, this one still has roots. I can probably start others from it.
I'm so glad everyone's safe.
Aaah!! Nothin' like that first drink after a job. Hic!! Why don't you have one too?
What!? You tellin' me you're too good to drink with me? Don't act big-headed jus' because you were in SOLDIER!
Oh!! That's more like it!! Even if you were with SOLDIER, you're still a rookie here. So you'd better listen to whatever I tell ya!
Hic...!! Oh...... Don't tell Barret what I jus said.
Oh, Cloud! Tifa really knows how to cook. Mmm, mmm...... Anyway, let me tell you somethin'
Tifa always lets me taste her cooking. And look at me now, I'm rolly-polly. Don't know whether I should be happy or sad. But it's the good food and drinks that make this shop famous."
21,"Wedge, Jessie, Marlene, Tifa, Barret",8,"narration, dialogue","Cloud...... ......forget it.
Careless...... You're getting all excited. Wonder what for......?
............
Sorry, Cloud. Marlene seems a little shy.
Papa, welcome home!
Yeah. Huh? Where'd you get that flower?
Cloud gave it to me.
Oh...... Did you thank him? ............"
22,"Marlene, Tifa, Barret",8,"narration, action","Thank you, Cloud. We'll take care of you.
You all right, Barret?
Great!!
Get in here, fools!! We're startin' the meetin'!!
Cloud... come over here.
Sit down. How about... ...something to drink?
OHH!! I can make a drink just as good as anyone else. Everyone says, my drinks taste the best!
Just a minute. I'll make one for you."
23,"Tifa, Cloud",8,"narration, dialogue, action","You know, I'm relieved you made it back safely.
What's with you all of a sudden? That wasn't even a tough job.
I guess not... You were in SOLDIER. Make sure you get your pay from Barret.
Don't worry. Once I get that money, I'm outta here.
Cloud. Are you feeling all right?
...yeah... Why?
No reason. You just look a little tired I guess.
You'd better go down below."
24,"President Shinra, Wedge, Jessie, Barret, Cloud",8,"action, narration, dialogue",".........today the No.1 Reactor was bombed. The terrorist group AVALANCHE has claimed responsibility for the bombing. It is expected that AVALANCHE will continue its reign of terror. But citizens of Midgar, there is no need to fear. I have immediately mobilized SOLDIER to protect our citizenry against this senseless violence. Thank you and good night.
You think I'm a little too uptight?
The next mission will be to blow up the Sector 5 Reactor. Cloud, you're great! Don't you ever get nervous? Or are you like, impervious to feelings? Naw, that couldn't be it.
Well, that's ok. Don't worry about me. I don't look like it, but I'm a coward at heart.
Oops... Hey, look at the news... What a blast. Think it was all because of my bomb? But all I really did was just make it like the computer told me. Oh no! I must've made a miscalculation somewhere.
Hey, that was my bomb's debut. Makes me kinda proud.
Yo, Cloud! There's somethin' I wanna ask ya. Was there anyone from SOLDIER fighting us today?
None. I'm positive."
25,"Barret, Cloud",8,"narration, action, dialogue","You sound pretty sure.
If there was anyone from SOLDIER you wouldn't be standing here now.
Don't go thinkin' you so bad jes cuz you was in SOLDIER.
............
Yeah, you're strong. Probably all them guys in SOLDIER are. But don't forget that your skinny ass's workin' for AVALANCHE now! Don't get no ideas 'bout hangin' on to Shinra.
Stayin' with Shinra? You asked me a question and I answered it...that's all.
I'm going upstairs. I want to talk about my money.
Shucks!! ............money..."
26,"Marlene, Tifa, Barret, Cloud, Wedge, Jessie",8,"narration, action, dialogue","Papa, you're so great!
Wait, Cloud!
Tifa! Let him go! Looks like he still misses the Shinra!
Shut up! I don't care about either Shinra or SOLDIER! But don't get me wrong! I don't care about AVALANCHE or the Planet for that matter!
.......Cloud. You say you don't care, but you came to talk to me. Cloud... You just want friends. Isn't that right?
Yeah, well. You look kind of lonely to me. If you ever got anything you want to get off your chest, you can always talk to me.
You're terrible. Real cold blooded.
Money... Oh my. It must have been for a lot of it. Sure! Well, what the hell? It's a verbal agreement. Now let me figure this out. Oh stop it, Cloud! Did you hear me?"
27,"Tifa, Cloud, Barret",8,"narration, dialogue, action","Straighten things up with everyone for me.
Listen, Cloud. I'm asking you. Please join us.
Sorry Tifa...
The Planet is dying. Slowly but surely it's dying. Someone has to do something.
So let Barret and his buddies do something about it. It's got nothin' to do with me.
You damn right we'll do something about it. N' you stay outta this Tifa!
So! You're really leaving !? You're just going to walk right out ignoring your childhood friend !?
What......?"
28,"Tifa, Cloud, Tifa , Cloud ",8,"action, narration","......You forgot the promise, too.
Promise?
So you DID forget.
Remember......Cloud. It was seven years ago...
Look, the well. Do you remember?
Yeah...back then. I thought you would never come, and I was getting a little cold.
Sorry I'm late. You said you wanted to talk to me about something?
Come this spring...I'm leaving this town for Midgar."
29,"Tifa , Cloud ",8,"narration, action, dialogue","...All boys are leaving our town.
But I'm different from all of them. I'm not just going to find a job. I want to join SOLDIER. I'm going to be the best there is, just like Sephiroth!
Sephiroth... The Great Sephiroth. Isn't it hard to join SOLDIER?
...I probably won't be able to come back to this town for a while.
...huh?
Will you be in the newspapers if you do well?
I'll try.
Hey, why don't we make a promise? Umm, if you get really famous and I'm ever in a bind...... You come save me, all right?"
30,"Cloud , Tifa , Tifa",8,"dialogue, narration","What?
Whenever I'm in trouble, my hero will come and rescue me. I want to at least experience that once.
What?
Ha, ha, ha! What's that!
You're laughing at me!
Come on--! Promise me----!
All right......I promise.
You remember now, don't you... our promise?"
31,"Cloud, Tifa, Barret, On-screen",8,"narration, action, system, dialogue","I'm not a hero and I'm not famous. I can't keep......the promise.
But you got your childhood dream, didn't you? You joined SOLDIER. So come on! You've got to keep your promise......
Wait a sec big-time SOLDIER! A promise is a promise! Here!!
Received Barret's stash, 1500 gil!
This is my pay? Don't make me laugh.
What? Then you'll...!!
You got the next mission lined up? I'll do it for 3000.
What......!?"
32,"Tifa, Barret",8,"narration, action, dialogue","It's ok, it's ok.
psst, psst......
Uh......ugh......
2000!
Thanks, Cloud.
Good Morning! Cloud! Did you sleep well?
psstpsst...
I don't know what you mean."
33,"Tifa, Barret, Cloud, On-screen",8,"action, narration, dialogue, system","I'm going this time.
Our target's the Sector 5 Reactor. Head for the station first. I'll fill you in on the train.
Yo! Cloud! Before the next mission, I got somethin' I wanna ask you! I, uh,...... I don't really know how to use Materia! I'll give you that Materia you found. Just teach me how to use it!
...sigh...
Sure, I'll explain how Materia works. First, access the menu. You know the basic functions. The triangle button brings up the menu. Directional buttons move the cursor, like this. Select each menu by using the OK button. If you want to leave the menu, just push the CANCEL button. See? Let's go ahead. Now you're in this menu. Select  sub menu. Select who you want to use it. Now look at my weapon here. Each weapon and armor has slots in it. Choose which slot you want to put Materia in. Now select the Materia you want to use. This is curative Materia. If you want to know what its effect is, line the cursor up with , and push the OK button. It's just like selecting battle commands. Just line the cursor up to , you can see that the available magic has increased. Now you can use new magic . And that's all there is to equipping Materia. See? It wasn't that tough! When you want to remove any Materia, it's as easy as pointing to the materia slot, and pushing the triangle button. There's just one thing you have to be careful of. Whenever you equip Materia, your situation changes. Parts of you may become stronger... while others get weaker. Normally, when you equip  Materia, your magic power will get stronger. But your physical strength weakens. So, Materia's kind of a double-edged sword. On the left side of the screen, you can see the Materia's effect on you. It's wise not to overuse Magic Materia. But try out various things. Push the CANCEL button to exit the sub menu. Ok, that's about it. I'll give you some advanced tips later.
Shi......! What's this 'It wasn't that tough!' crap! I'm clueless...... Well, you handle the Materia then!
So this is what makes them guys in SOLDIER so great, huh!? Ok. I'll ask Jessie again later. But you're in charge of the Materia!
Access the menu and select  to equip Materia."
34,"Tifa, Marlene, Barret, Shinra Manager",8,"action, narration, dialogue","I'm going this time.
Cloud! I got a message from the Weapon Shop man upstairs. He has something he wants to give you. Don't forget!
Marlene, you watch the store while we're gone!
All right!! Good Luck.
Take care!
YO! Looks like this ain't no private car!! So split up!!
...hoodlums again. God, don't I just have all the luck...
You say sumthin' ?"
35,"Barret, Shinra Manager, Tifa, Cloud",8,"dialogue, action, narration","I said, 'you say sumthin'!?
Yo, look at that!! It got empty alluva sudden. What's goin' on?
DAMN!! I...it's empty because of... g, guys like you... Y, Y, YIPES!! You...you've seen the news, right? AVALANCHE says there'll be more bombings. Only devoted employees like me would go to Midgar on a day like today.
You workin' for Shinra?
I won't give in to violence... and I'm not giving you my seat either!
Barret!!
&$#%!! You lucky ^$#^$.!
So, what are we gonna do now?"
36,"Barret, Tifa, Cloud, On-screen",8,"narration, dialogue, system","Shit! The hell you so calm about? You bustin' up my rhythm...
Seems like they just finished connecting the cars. We're finally leaving.
So what's our next target?
Hah! Listen to Mr. Serious-about-his-work!
Awright...I'll tell ya! Jessie's probably already told you, but there's a security check point at the top plate. It's an ID scan system checkin' all the trains.
Which Shinra is very proud of.
We can't use our fake ID's anymore...
Good Morning, and welcome to Midgar lines. Arrival time at Sector 4 Station will 1145."
37,"Tifa, Barret, NPC, Shinra Manager",8,"action, narration","That means we've got only three more minutes to the ID Check point.
Alright, in three minutes, we're jumpin' off this train. Got it!?
Cloud, come over here! Let's look at the Railway Map Monitor.
Yo, Mr. know-it-all, big time SOLDIER! You oughta know the area 'round the No. 5 Reactor, right! So let's hear YOUR explanation!
Hmmm......? You're the only ones that'll talk to me or come to my house. I'm impressed.
Waaaaah!! Don...don't worry about me.
Hmm, it looks like you've seen this already... It's all right. Come a little closer.
That's odd. The ID Check Point was supposed to be further down."
38,"On-screen, Tifa, Barret, Jessie",8,"system, dialogue, action, narration","Type A Security Alert!! Unidentified passengers confirmed... A search of all cars will be conducted! Repeat!! Type A Security Alert!! Unidentified passengers confirmed... A search of all cars will be conducted!
What's happening?
What's goin' on!!
We're in trouble. I'll explain later. Hurry! Get to the next car!
^%#@%! Someone blew it...
Unidentified passengers located in Car #1 Preparing for Lock Down
Let's go! Keep it up!
You have 15 seconds to reach next car. Reach car 5 if you want to date Tifa/Barret, or get off earlier if you want to date Aeris/Yuffie."
39,"NPC, On-screen, Barret, Tifa",8,"narration, system, action","Hm? ... You'd talk to me even now? I'm really impressed. Let me give you a little something as a reward.
If I die in the gutter, use that to revive me, okay?
Car #1 Locked Down Car being sent to the Station
C'mon!! Hurry your slow ass up! That's it, huh?
Oh well...
We're gonna jump outta here!! Follow me!!
We got a lot of battles ahead of us. This's going to be tough.
Car #1 Locked Down Upgrading to Level 2 Warning"
40,"Biggs, Wedge, On-screen, Jessie, NPC",8,"narration, action, system","Hurry!
They're gonna lock the door, sir!
Unidentified passengers located in Car #2 Preparing for Lock Down
Just run! Changing to Plan 2!
Hey... You guys are rowdy...
Well, just calm down.
Gosh!! You're adults, but you're making such noise. Please behave while you're in the train.
Hyu---n!! Hyu---n!!"
41,"NPC,  On-screen, Barret, Tifa",8,"narration, dialogue","Does this mean that we're in a major bind?
Huh? The hell?! Do you want this?
Wow! I won't even charge you... Wha-t? Don't get used to it though.
Wha-t? Let me know when you need me.
Wha-t? You sure are greedy.
Car #2 Locked Down Car being sent to the Station
What!? That's it!?
That didn't do anything!"
42,"Barret, Tifa, On-screen, Jessie, NPC",8,"action, narration, system","We'll jump from here!! Follow me, you 'spensive leech!!
Phew-----! Be strong!
Car #2 Locked down Upgrading to Warning Level 3
Awright! We clear!?
Not yet. They're starting another check. If we're caught, we're done for! But, don't worry. If we move up the train, car by car, we should get past it!
Unidentified Passengers Moving to front of Train Currently tracking location
Hee hee!!
...nowhere to run..."
43,"NPC, Johnny, On-screen, Barret",8,"narration, action, system","By any chance... Busted?
Ok, then. That's that.
I'm so--- sorry. I'll give it back...
urrrrrrrg
Later...Goodbye...Adios, Midgar!!
sob...
Car #3 Locked Down Illegal ID will be taken to the station
The hell!? So this is as far as we go...?"
44,"Tifa, Barret, On-screen, NPC",8,"narration, action, system, dialogue","We were almost there.
We're gonna jump off here!! Follow me!!
Don't worry! Don't worry!
Car #3 Locked Down Upgrading to Warning Level 4
Brrrrrr...... It's terrible. Who'd expect underwear bandits in this day and age? They wiped me out!
Any idea what happened? All I know is, when I woke up the 3 of us were butt-naked! But I guess you couldn't relate...
That scary broad made me take the bomb. Of course I couldn't very well refuse her!
Car #4 Locked Down Illegal ID will be taken to the Station"
45,"On-screen, Barret, Tifa, Cloud",8,"system, narration, action, dialogue","Car #4 Locked Down Upgrading to maximum security alert!!
All right!! We made it!
Yo!! This way!!
Let's go!! We're gonna dive outta here!!
Yo!! Ain't no time to waste!! ...do something!
...Scary...huh.
Too late to be saying that now. Why'd you come along anyway?
Because..."
46,"Barret, Wedge, Jessie, Cloud",8,"narration, action","Hey you two! There ain't no time for that!
Guess who? It's me, Wedge! Looks like things were a success.
I look just like my little brother in these clothes... I wonder how everyone's doin' now...?
It's me, Jessie. How do I look, Cloud? Do I look good in a Shinra uniform?
...you look great, just like a man.
Yay!! I'm so happy ...I think?
Just concentrate on our plan.
You're right, sorry."
47,"Tifa, Cloud, Barret",8,"action, narration","Yeah!! I've made up my mind! Watch closely. I'm gonna jump!!
You don't care if I go first?
A leader always stays till the end. Don't worry 'bout me, just go!
Yo! Don't go gettin' your spikey-ass hurt! It's only the beginnin' of the mission!
Later! You take care of the rest!
Oh man...... We were forced to get this far out. We can't just go back now. We've gotta go on. Biggs, Wedge, and Jessie did good. Now, it's our turn!
That was close. I thought we were gonna get caught... They probably don't realize that we've sneaked in yet. We should get to the reactor in no time. Biggs, Wedge, and Jessie did good. Now, it's our turn!
Good, so far everything's going as planned. Better not let your guard down till we get to the Sector 5 reactor. Biggs, Wedge and Jessie got everything ready for us. So MOVE it."
48,"Barret, Cloud, Soldier, Tifa",8,"narration, action","Well, the reactor's just down this tunnel!
Shinra security guards are there. ...We've got to turn back.
You're the AVALANCHE!
More security's coming. It's dangerous to stay here.
Those light beams are the Shinra's security sensors. We can't go any further.
After coming this far, only an amateur'd get caught by the security sensor.
That's one damn tiny hole. You tellin' me to squeeze into that to get under the Plate? No way! Yo, Cloud, what're we gonna do?
...There seems to be nothing that'll get us stuck in this duct."
49,"Cloud, Barret, Wedge, Jessie, Biggs",8,"action, narration, dialogue","Yeah. If we go down this duct, we won't be able to come back up here.
Don't be wastin' time. Never know when the Shinra'll find us. Cloud, you jes' gotta go.
But, damn man, that thing gives me the chills.
Whaddya mean we're not goin' in? There ain't no other way of gettin' to the Sector 5 reactor 'cept through here.
Cloud, this way. The reactor's up this ladder.
I'm sorry. The ID scan problem on the train was all my fault. I made your ID card special...... So that's why it happened... I put my heart into making it. But I failed.
Next time, I'll give you something more decent. I'll be back at the hideout in my research room workin' on it.
We're gonna pull out now. We'll meet up at the hideout. Cloud, we're countin' on you to blow the reactor!"
50,"Tifa , Barret, Tifa, Cloud",8,narration,"Papa...
Sephiroth!?
Sephiroth did this to you, didn't he!?
Sephiroth...SOLDIER... Mako Reactors...Shinra...Everything! I hate them all!
Damn man, get a hold of yourself!
You all right?
......Tifa.
Mmm?"
51,"Cloud, Barret, Tifa",8,"narration, action","No... forget...... Come on, let's hurry!
I know. You're my watch, right?
Damn straight. Tifa's old friend... That ain't good enough.
Let's hurry, Cloud.
Jessie said we all have to push the button at once.
No good. Let's try it again.
This way!
Shinra soldiers!?"
52,"Barret, Cloud, Tifa, President Shinra",8,"action, narration, dialogue","SHIT! What the hell's goin' on?
...a trap...
Presi...President Shinra?
Why is the President here?
Hmm... So you all must be that... ...what was it?
AVALANCHE! And don't ya forget it! And you're President Shinra, huh?
Long time no see, President.
...Long time no see? Oh...you. You're the one who quit SOLDIER and joined AVALANCHE. I knew you'd been exposed to Mako, from the look in your eyes... Tell me, traitor... what was your name?"
53,"Cloud, President Shinra, Barret",8,"narration, dialogue, action","Cloud.
Forgive me for asking, but I can't be expected to remember each person's name. Unless you become another Sephiroth.
Yes, Sephiroth... He was brilliant. Perhaps too brilliant...
Sephiroth.......?
Don't give a damn 'bout none of that! This place's goin' up with a big BANG soon! Serves y'all right!
And such a waste of good fireworks, just to get rid of vermin like you...
VERMIN!? That's all you can say...VERMIN! Y'all Shinra're the VERMIN, killing the planet! And that makes you King VERMIN! So shu'up jackass!
...You are beginning to bore me. I'm a very busy man, so if you'll excuse me... I have a dinner I must attend."
54,"Barret, President Shinra, Tifa, Cloud",8,"narration, dialogue, action","Dinner!? Don't gimme that! I ain't even started wit' you yet!
But, I've made arrangements for a playmate for you all.
!? What's that noise?
The hell is this!?
Meet 'Airbuster', a techno-soldier. Our Weapon Development Department created him. I'm sure the data he'll extract from your dead bodies will be of great use to us in future experiments.
...Techno-soldier?
Now then, if you'll excuse me.
Wait, President!"
55,"Barret, Tifa, Cloud",8,"action, narration","Yo, Cloud! We've gotta do somethin' 'bout him!
Help, Cloud!
THIS is from SOLDIER?
No way! It's just a machine.
I don't care what it is!! I'm gonna bust him up!
It's gonna blow! Let's go, Tifa!
Barret! Can't you do something?
Not a damn thing."
56,"Tifa, Cloud, Barret",8,"dialogue, narration, action","Cloud! Please don't die! You can't die! There's still so much I want to tell you!
I know, Tifa......
Hey, you gonna be awright?
............ You worry about yourselves! I'm all right, but take care of Tifa!
...Alright. Sorry 'bout all this.
Stop talkin' like this is the end!
Shit! Can't hold on much longer. Barret......Hurry!
Don't go cryin' like a woman. There ain't nothin' I can do for ya. Ya gotta do it yourself."
57,"Cloud, Barret, Grey text",8,"narration, dialogue","Barret...
Alright, then, later.
......You all right? ......Can you hear me?
......Yeah......
Back then...... You could get by with just skinned knees......
......What do you mean by 'back then'?
What about now? Can you get up?
......What do you mean by 'that time'? ......What about now?"
58,"Grey text, Cloud, Flower girl",8,"narration, dialogue","......Don't worry about me. You just worry about yourself now.
......I'll give it a try.
Oh! It moved!
......How about that?
Whew...... Am I glad.
Take it slow now. Little by little......
Hello, hello?
......I know."
59,"Cloud, Flower girl",8,"narration, dialogue","Hey...who are you?
Hello, hello!
You okay? This is a church in the Sector 5 slums. It suddenly fell on top of me. It really gave me a scare.
......I came crashing down?
The roof and the flower bed must have broken your fall. You're lucky.
Flower bed......is this yours?
Sorry about that.
That's all right. The flowers here are quite resilient because this is a sacred place. They say you can't grow grass and flowers in Midgar. But for some reason, the flowers have no trouble blooming here. I love it here."
60,"Flower girl, Cloud",8,narration,"......So, we meet again. ......Don't you remember me?
Yeah, I remember...
Oh! I'm so happy!
Thanks for buying my flowers.
You didn't buy any flowers from me though. Well, that's okay.
Excuse me, but that's really rude!
But I'll forgive you, because you bought flowers from me.
I don't remember a thing. Well, that's okay."
61,"Flower girl, Cloud",8,"narration, dialogue, action","......I guess you don't remember. You were walking in a daze.
But I'll forgive you, because you bought flowers from me.
Well, that's okay.
Say, do you have any materia?
Yes, some. Nowadays you can find materia anywhere.
But mine is special. It's good for absolutely nothing.
......good for nothing? You probably just don't know how to use it.
No, I do...... it just doesn't do anything. I feel safe just having it. It was my mother's...... Say, I feel like talking. Do you feel up to it? After all, here we are meeting again, right?"
62,"Flower girl, Aeris, Cloud",8,"action, narration, dialogue","Wait here. I've got to check my flowers. It'll just be a minute.
......oh, I see. Ahhh. I wonder whose fault that is. It takes a lot to grow them, you know. Poor flowers.
Just a little longer. Oh! Now that you mention it...... We don't know each other's names, do we? My name is......
I'm Aeris, the flower girl. Nice to meet you.
The name's Cloud. Me......? I do a little bit of everything.
Oh...... a jack of all trades.
Yeah, I do whatever's needed.
What's so funny? What are you laughing at?"
63,"Aeris, Reno, Cloud",8,"narration, dialogue","Sorry......I just
Sorry, bad timing on my part.
Cloud! Don't let it get to you!
Don't worry about me.
Say, Cloud. Have you ever been a bodyguard?
You DO do everything, right?
......Yeah, that's right.
Then, get me out of here. Take me home."
64,"Cloud, Aeris, On-screen",8,"narration, action, system","OK, I'll do it... but it'll cost you.
Well then, let's see......
How about if I go out with you once?
I don't know who you are, but......
You don't know me......?
......I know you.
Oh yeah......I know you.
that uniform......"
65,"Soldier, Cloud, Reno, Aeris",8,narration,"...... Hey sis, this one's a little weird.
Shut up! You Shinra spy!
Reno! Want him taken out?
I haven't decided yet.
Don't fight here! You'll ruin the flowers!
The exit is back there.
They were......Mako eyes.
Yeah, all right. Back to work, back to work."
