sample_id,plot_text,is_consistent
11,"Attack while it's tail's up! It's gonna counterattack with its laser.
I dunno what's goin' on, but... it looks pretty bad. Let's see what it does when it's tail's up...
Come on, let's get outta here!
Ten minutes to detonation!
The alarm!
You all right?
My leg got stuck.
Thanks!",1
12,"Attack while it's tail's up! It's gonna counterattack with its laser.
I dunno what's goin' on, but... it looks pretty bad. Let's see what it does when it's tail's up...
Come on, let's get outta here!
Ten minutes to detonation!
The alarm!
You all right?
My leg got stuck.
Thanks!
---
Code deciphered
Alright, be careful.
Jessie still hasn't come up yet!
Code deciphered
Let's go!
That should keep the planet going... at least a little longer.
Yeah.
.........",0
13,"Code deciphered
Alright, be careful.
Jessie still hasn't come up yet!
Code deciphered
Let's go!
That should keep the planet going... at least a little longer.
Yeah.
.........",1
14,"Code deciphered
Alright, be careful.
Jessie still hasn't come up yet!
Code deciphered
Let's go!
That should keep the planet going... at least a little longer.
Yeah.
.........
---
OK! Now everyone get back.
All right, now let's get out of here.
Rendezvous at Sector 8 station! Split up and get on the train!
H, hey!
If it's about your money Save it 'til we're back at the hideout.
Excuse me. What happened?
Really? I don't know what's going on, but all right.
............",0
15,"OK! Now everyone get back.
All right, now let's get out of here.
Rendezvous at Sector 8 station! Split up and get on the train!
H, hey!
If it's about your money Save it 'til we're back at the hideout.
Excuse me. What happened?
Really? I don't know what's going on, but all right.
............",1
16,"OK! Now everyone get back.
All right, now let's get out of here.
Rendezvous at Sector 8 station! Split up and get on the train!
H, hey!
If it's about your money Save it 'til we're back at the hideout.
Excuse me. What happened?
Really? I don't know what's going on, but all right.
............
---
Oh, these? Do you like them? They're only a gil...?
What! Tell me! Uh,excuse me,would you like to buy some flowers? They're only one gil.
Oh, thank you! Here you are!
Ahh...not again.
Just what the hell's going on!?
Wonder what that is on the wall over there. Let's see...Don't be fooled by Shinra! Mako energy doesn't last forever! Mako is the planet's lifesource! The end is in sight! Protectors of the planet AVALANCHE
Hey! You there!!
Shinra Soldiers......",0
17,"Oh, these? Do you like them? They're only a gil...?
What! Tell me! Uh,excuse me,would you like to buy some flowers? They're only one gil.
Oh, thank you! Here you are!
Ahh...not again.
Just what the hell's going on!?
Wonder what that is on the wall over there. Let's see...Don't be fooled by Shinra! Mako energy doesn't last forever! Mako is the planet's lifesource! The end is in sight! Protectors of the planet AVALANCHE
Hey! You there!!
Shinra Soldiers......",1
18,"Oh, these? Do you like them? They're only a gil...?
What! Tell me! Uh,excuse me,would you like to buy some flowers? They're only one gil.
Oh, thank you! Here you are!
Ahh...not again.
Just what the hell's going on!?
Wonder what that is on the wall over there. Let's see...Don't be fooled by Shinra! Mako energy doesn't last forever! Mako is the planet's lifesource! The end is in sight! Protectors of the planet AVALANCHE
Hey! You there!!
Shinra Soldiers......
---
What the?
hmph!
Halt!!
That's him!!Cloud hmph!
Over here!!
hmph!
That's as far as you go.
I don't have time to be messin' around with you guys.",0
19,"What the?
hmph!
Halt!!
That's him!!Cloud hmph!
Over here!!
hmph!
That's as far as you go.
I don't have time to be messin' around with you guys.",1
20,"What the?
hmph!
Halt!!
That's him!!Cloud hmph!
Over here!!
hmph!
That's as far as you go.
I don't have time to be messin' around with you guys.
---
Enough babbling...... Grab him!!
What a pain......
Cloud never came.
Cloud...... Wonder if he was killed?
No way!!
Cloud......
Say, do you think Cloud's...... Going to fight to the end for AVALANCHE!?
The hell would I know!? Do I look like a mind reader? Hmph!! If y'all weren't such screw-ups...",0
21,"Enough babbling...... Grab him!!
What a pain......
Cloud never came.
Cloud...... Wonder if he was killed?
No way!!
Cloud......
Say, do you think Cloud's...... Going to fight to the end for AVALANCHE!?
The hell would I know!? Do I look like a mind reader? Hmph!! If y'all weren't such screw-ups...",1
22,"Enough babbling...... Grab him!!
What a pain......
Cloud never came.
Cloud...... Wonder if he was killed?
No way!!
Cloud......
Say, do you think Cloud's...... Going to fight to the end for AVALANCHE!?
The hell would I know!? Do I look like a mind reader? Hmph!! If y'all weren't such screw-ups...
---
Hey, Barret! What about our money...? Uh, nothin'...sorry. Ahhh......
Cloud!!
Cloud!!
Cloud......
Looks like I'm a little late.
You damn right, you're late!! Come waltzin' in here makin' a big scene!
It's no big deal. Just what I always do.
Shi't! Havin' everyone worried like that you don't give a damn 'bout no one but yourself!",0
23,"Hey, Barret! What about our money...? Uh, nothin'...sorry. Ahhh......
Cloud!!
Cloud!!
Cloud......
Looks like I'm a little late.
You damn right, you're late!! Come waltzin' in here makin' a big scene!
It's no big deal. Just what I always do.
Shi't! Havin' everyone worried like that you don't give a damn 'bout no one but yourself!",1
24,"Hey, Barret! What about our money...? Uh, nothin'...sorry. Ahhh......
Cloud!!
Cloud!!
Cloud......
Looks like I'm a little late.
You damn right, you're late!! Come waltzin' in here makin' a big scene!
It's no big deal. Just what I always do.
Shi't! Havin' everyone worried like that you don't give a damn 'bout no one but yourself!
---
Hmm...... You were worried about me!
Wha!? I'm takin' it outta your money, hot stuff!
Wake up! We're movin' out! Follow me!
Hey, Cloud!! You were great back there!
Heh heh......Cloud! We'll do even better next time.
Be careful, I'll shut this.
Oh, Cloud!! Your face is pitch-black......
There you go!",0
25,"Hmm...... You were worried about me!
Wha!? I'm takin' it outta your money, hot stuff!
Wake up! We're movin' out! Follow me!
Hey, Cloud!! You were great back there!
Heh heh......Cloud! We'll do even better next time.
Be careful, I'll shut this.
Oh, Cloud!! Your face is pitch-black......
There you go!",1
26,"Hmm...... You were worried about me!
Wha!? I'm takin' it outta your money, hot stuff!
Wake up! We're movin' out! Follow me!
Hey, Cloud!! You were great back there!
Heh heh......Cloud! We'll do even better next time.
Be careful, I'll shut this.
Oh, Cloud!! Your face is pitch-black......
There you go!
---
Say, thanks for helping me back there at the Reactor!
Last train out of Sector 8 Station. Last stop is Sector 7, Train Graveyard. Expected time of arrival is 1223AM, Midgar Standard Time...
This is why I hate the last train. Hoo-boy...
Huh...? This is my house, so make yourselves at home.
You see the headlines in the Shinra Times? The terrorists that bombed the No. 1 Reactor are based somewhere in the slums. ...blowing up a Reactor... they sure put some thought into this one. They must have a real calculating leader. I wonder what they'll do next?
Stop actin' like a damn kid. Si'down an' shu'up!
It seems this train hasn't switched to security mode yet. I'm sure that will change by tomorrow.
...YAWN...that sure took its toll on me. I'm gonna sleep till we get to the station.",0
27,"Say, thanks for helping me back there at the Reactor!
Last train out of Sector 8 Station. Last stop is Sector 7, Train Graveyard. Expected time of arrival is 1223AM, Midgar Standard Time...
This is why I hate the last train. Hoo-boy...
Huh...? This is my house, so make yourselves at home.
You see the headlines in the Shinra Times? The terrorists that bombed the No. 1 Reactor are based somewhere in the slums. ...blowing up a Reactor... they sure put some thought into this one. They must have a real calculating leader. I wonder what they'll do next?
Stop actin' like a damn kid. Si'down an' shu'up!
It seems this train hasn't switched to security mode yet. I'm sure that will change by tomorrow.
...YAWN...that sure took its toll on me. I'm gonna sleep till we get to the station.",1
28,"Say, thanks for helping me back there at the Reactor!
Last train out of Sector 8 Station. Last stop is Sector 7, Train Graveyard. Expected time of arrival is 1223AM, Midgar Standard Time...
This is why I hate the last train. Hoo-boy...
Huh...? This is my house, so make yourselves at home.
You see the headlines in the Shinra Times? The terrorists that bombed the No. 1 Reactor are based somewhere in the slums. ...blowing up a Reactor... they sure put some thought into this one. They must have a real calculating leader. I wonder what they'll do next?
Stop actin' like a damn kid. Si'down an' shu'up!
It seems this train hasn't switched to security mode yet. I'm sure that will change by tomorrow.
...YAWN...that sure took its toll on me. I'm gonna sleep till we get to the station.
---
Someday AVALANCHE's gonna be famous ...and me, too!
Cloud!! Don't ya think I got a bright future ahead of me?
All my life, I felt like nothin' but a sidekick. But, after joinin' AVALANCHE and tryin' to save the Planet, I feel like I can do lots of things.
Oh man, that's pretty harsh, Cloud. You really think I won't?
Please!! You're bothering the other passengers.
Hey, Cloud. You want to look at this with me? It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.
I like this kinda stuff. Bombs and monitors...you know, flashy stuff.
Okay, it's about to start.",0
29,"Someday AVALANCHE's gonna be famous ...and me, too!
Cloud!! Don't ya think I got a bright future ahead of me?
All my life, I felt like nothin' but a sidekick. But, after joinin' AVALANCHE and tryin' to save the Planet, I feel like I can do lots of things.
Oh man, that's pretty harsh, Cloud. You really think I won't?
Please!! You're bothering the other passengers.
Hey, Cloud. You want to look at this with me? It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.
I like this kinda stuff. Bombs and monitors...you know, flashy stuff.
Okay, it's about to start.",1
30,"Someday AVALANCHE's gonna be famous ...and me, too!
Cloud!! Don't ya think I got a bright future ahead of me?
All my life, I felt like nothin' but a sidekick. But, after joinin' AVALANCHE and tryin' to save the Planet, I feel like I can do lots of things.
Oh man, that's pretty harsh, Cloud. You really think I won't?
Please!! You're bothering the other passengers.
Hey, Cloud. You want to look at this with me? It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.
I like this kinda stuff. Bombs and monitors...you know, flashy stuff.
Okay, it's about to start.
---
This is a complete model of the city of Midgar. It's about a 1/10000 scale. The top plate is about 50 meters above ground. A main support structure holds the plate up in the center, and there are other support structures built in each section... psst...whisper...whisper...  Then there's No.2, No.3 all the way up to the No.8 Reactor. The 8 Reactors provide Midgar with electricity. Each town used to have a name, but no one in Midgar remembers them. Instead of names, we refer to them by numbered sectors. That's the kind of place this is.
Phew..., this is next! Look.
This is the route this train is on. The route spirals around the main support structure. We should be coming around the center area, right now. At each checkpoint, an ID sensor device is set up. It can check the identities and background on each and every passenger on the train by linking it up to the central data bank at Shinra headquarters. whisper...whisper...
Speak of the devil... That light means that we're in the ID Security Check area. ...whisper...whisper...  ...anyhow, we're almost back now. That's a relief.
...snore...heebeebeeheebee...snore...
I'm seein' stars. This sucks. I hate the dark.
I know! Next time, I'll give you one I made myself.
Oh yeah, you might regret it. I'm the type who takes things personal.",0
31,"This is a complete model of the city of Midgar. It's about a 1/10000 scale. The top plate is about 50 meters above ground. A main support structure holds the plate up in the center, and there are other support structures built in each section... psst...whisper...whisper...  Then there's No.2, No.3 all the way up to the No.8 Reactor. The 8 Reactors provide Midgar with electricity. Each town used to have a name, but no one in Midgar remembers them. Instead of names, we refer to them by numbered sectors. That's the kind of place this is.
Phew..., this is next! Look.
This is the route this train is on. The route spirals around the main support structure. We should be coming around the center area, right now. At each checkpoint, an ID sensor device is set up. It can check the identities and background on each and every passenger on the train by linking it up to the central data bank at Shinra headquarters. whisper...whisper...
Speak of the devil... That light means that we're in the ID Security Check area. ...whisper...whisper...  ...anyhow, we're almost back now. That's a relief.
...snore...heebeebeeheebee...snore...
I'm seein' stars. This sucks. I hate the dark.
I know! Next time, I'll give you one I made myself.
Oh yeah, you might regret it. I'm the type who takes things personal.",1
32,"This is a complete model of the city of Midgar. It's about a 1/10000 scale. The top plate is about 50 meters above ground. A main support structure holds the plate up in the center, and there are other support structures built in each section... psst...whisper...whisper...  Then there's No.2, No.3 all the way up to the No.8 Reactor. The 8 Reactors provide Midgar with electricity. Each town used to have a name, but no one in Midgar remembers them. Instead of names, we refer to them by numbered sectors. That's the kind of place this is.
Phew..., this is next! Look.
This is the route this train is on. The route spirals around the main support structure. We should be coming around the center area, right now. At each checkpoint, an ID sensor device is set up. It can check the identities and background on each and every passenger on the train by linking it up to the central data bank at Shinra headquarters. whisper...whisper...
Speak of the devil... That light means that we're in the ID Security Check area. ...whisper...whisper...  ...anyhow, we're almost back now. That's a relief.
...snore...heebeebeeheebee...snore...
I'm seein' stars. This sucks. I hate the dark.
I know! Next time, I'll give you one I made myself.
Oh yeah, you might regret it. I'm the type who takes things personal.
---
Okay, then I'll put a little extra effort in and make it with a BANG.
We're almost there. After talking with you, I really want to do it! I think you've lit my fuse!
Look...you can see the surface now. This city don't have no day or night. If that plate weren't there... we could see the sky.
A floating city... Pretty unsettling scenery.
Huh? Never expect ta hear that outta someone like you. ...you jes' full of surprises.
The upper world...a city on a plate... It's 'cuz of that &^#$# 'pizza', that people underneath are sufferin'! And the city below is full of polluted air. On topa that, the Reactor keeps drainin' up all the energy.
Then why doesn't everyone move onto the Plate?
Dunno. Probably 'cuz they ain't got no money. Or, maybe... 'Cuz they love their land, no matter how polluted it gets.",0
33,"Okay, then I'll put a little extra effort in and make it with a BANG.
We're almost there. After talking with you, I really want to do it! I think you've lit my fuse!
Look...you can see the surface now. This city don't have no day or night. If that plate weren't there... we could see the sky.
A floating city... Pretty unsettling scenery.
Huh? Never expect ta hear that outta someone like you. ...you jes' full of surprises.
The upper world...a city on a plate... It's 'cuz of that &^#$# 'pizza', that people underneath are sufferin'! And the city below is full of polluted air. On topa that, the Reactor keeps drainin' up all the energy.
Then why doesn't everyone move onto the Plate?
Dunno. Probably 'cuz they ain't got no money. Or, maybe... 'Cuz they love their land, no matter how polluted it gets.",1
34,"Okay, then I'll put a little extra effort in and make it with a BANG.
We're almost there. After talking with you, I really want to do it! I think you've lit my fuse!
Look...you can see the surface now. This city don't have no day or night. If that plate weren't there... we could see the sky.
A floating city... Pretty unsettling scenery.
Huh? Never expect ta hear that outta someone like you. ...you jes' full of surprises.
The upper world...a city on a plate... It's 'cuz of that &^#$# 'pizza', that people underneath are sufferin'! And the city below is full of polluted air. On topa that, the Reactor keeps drainin' up all the energy.
Then why doesn't everyone move onto the Plate?
Dunno. Probably 'cuz they ain't got no money. Or, maybe... 'Cuz they love their land, no matter how polluted it gets.
---
I know... no one lives in the slums because they want to. It's like this train. It can't run anywhere except where its rails take it.
Yo!! Get over here, all'ya!!
Yo, Cloud! You lissen up!
This mission was a success. But don't get lazy now. The hard part's still to come! Don't y'all be scared of that explosion! Cause the next one's gonna be bigger than that! Meet back at the hideout!! Move out!
Ok! Go on ahead.
You! Cloud!! Get off your slow-movin' ass!!
Heh heh... You wanna meet your little baby?
Hey! Don' act like you don't know what I mean! I'm tellin' you...",0
35,"I know... no one lives in the slums because they want to. It's like this train. It can't run anywhere except where its rails take it.
Yo!! Get over here, all'ya!!
Yo, Cloud! You lissen up!
This mission was a success. But don't get lazy now. The hard part's still to come! Don't y'all be scared of that explosion! Cause the next one's gonna be bigger than that! Meet back at the hideout!! Move out!
Ok! Go on ahead.
You! Cloud!! Get off your slow-movin' ass!!
Heh heh... You wanna meet your little baby?
Hey! Don' act like you don't know what I mean! I'm tellin' you...",1
36,"I know... no one lives in the slums because they want to. It's like this train. It can't run anywhere except where its rails take it.
Yo!! Get over here, all'ya!!
Yo, Cloud! You lissen up!
This mission was a success. But don't get lazy now. The hard part's still to come! Don't y'all be scared of that explosion! Cause the next one's gonna be bigger than that! Meet back at the hideout!! Move out!
Ok! Go on ahead.
You! Cloud!! Get off your slow-movin' ass!!
Heh heh... You wanna meet your little baby?
Hey! Don' act like you don't know what I mean! I'm tellin' you...
---
Heh! Jes calm down. Can't have people suspectin' us.
Papa!!
Marlene! Aren't you going to say anything to Cloud? Welcome home, Cloud. Looks like everything went well. Did you fight with Barret?
I should have known. He's always pushing people around, and you've always been in fights ever since you were little. I was worried.
Hmm. You've grown up. When you were little you used to get into fights at the drop of a hat.
Please enter a name.
Flowers? How nice... You almost never see them here in the slums. But... A flower for me? Oh Cloud, you shouldn't have...
No big.",0
37,"Heh! Jes calm down. Can't have people suspectin' us.
Papa!!
Marlene! Aren't you going to say anything to Cloud? Welcome home, Cloud. Looks like everything went well. Did you fight with Barret?
I should have known. He's always pushing people around, and you've always been in fights ever since you were little. I was worried.
Hmm. You've grown up. When you were little you used to get into fights at the drop of a hat.
Please enter a name.
Flowers? How nice... You almost never see them here in the slums. But... A flower for me? Oh Cloud, you shouldn't have...
No big.",1
38,"Heh! Jes calm down. Can't have people suspectin' us.
Papa!!
Marlene! Aren't you going to say anything to Cloud? Welcome home, Cloud. Looks like everything went well. Did you fight with Barret?
I should have known. He's always pushing people around, and you've always been in fights ever since you were little. I was worried.
Hmm. You've grown up. When you were little you used to get into fights at the drop of a hat.
Please enter a name.
Flowers? How nice... You almost never see them here in the slums. But... A flower for me? Oh Cloud, you shouldn't have...
No big.
---
Thank you, Cloud. It smells wonderful. Maybe I should fill the store with flowers. Cloud, this one still has roots. I can probably start others from it.
I'm so glad everyone's safe.
Aaah!! Nothin' like that first drink after a job. Hic!! Why don't you have one too?
What!? You tellin' me you're too good to drink with me? Don't act big-headed jus' because you were in SOLDIER!
Oh!! That's more like it!! Even if you were with SOLDIER, you're still a rookie here. So you'd better listen to whatever I tell ya!
Hic...!! Oh...... Don't tell Barret what I jus said.
Oh, Cloud! Tifa really knows how to cook. Mmm, mmm...... Anyway, let me tell you somethin'
Tifa always lets me taste her cooking. And look at me now, I'm rolly-polly. Don't know whether I should be happy or sad. But it's the good food and drinks that make this shop famous.",0
39,"Thank you, Cloud. It smells wonderful. Maybe I should fill the store with flowers. Cloud, this one still has roots. I can probably start others from it.
I'm so glad everyone's safe.
Aaah!! Nothin' like that first drink after a job. Hic!! Why don't you have one too?
What!? You tellin' me you're too good to drink with me? Don't act big-headed jus' because you were in SOLDIER!
Oh!! That's more like it!! Even if you were with SOLDIER, you're still a rookie here. So you'd better listen to whatever I tell ya!
Hic...!! Oh...... Don't tell Barret what I jus said.
Oh, Cloud! Tifa really knows how to cook. Mmm, mmm...... Anyway, let me tell you somethin'
Tifa always lets me taste her cooking. And look at me now, I'm rolly-polly. Don't know whether I should be happy or sad. But it's the good food and drinks that make this shop famous.",1
40,"Thank you, Cloud. It smells wonderful. Maybe I should fill the store with flowers. Cloud, this one still has roots. I can probably start others from it.
I'm so glad everyone's safe.
Aaah!! Nothin' like that first drink after a job. Hic!! Why don't you have one too?
What!? You tellin' me you're too good to drink with me? Don't act big-headed jus' because you were in SOLDIER!
Oh!! That's more like it!! Even if you were with SOLDIER, you're still a rookie here. So you'd better listen to whatever I tell ya!
Hic...!! Oh...... Don't tell Barret what I jus said.
Oh, Cloud! Tifa really knows how to cook. Mmm, mmm...... Anyway, let me tell you somethin'
Tifa always lets me taste her cooking. And look at me now, I'm rolly-polly. Don't know whether I should be happy or sad. But it's the good food and drinks that make this shop famous.
---
Cloud...... ......forget it.
Careless...... You're getting all excited. Wonder what for......?
............
Sorry, Cloud. Marlene seems a little shy.
Papa, welcome home!
Yeah. Huh? Where'd you get that flower?
Cloud gave it to me.
Oh...... Did you thank him? ............",0
41,"Cloud...... ......forget it.
Careless...... You're getting all excited. Wonder what for......?
............
Sorry, Cloud. Marlene seems a little shy.
Papa, welcome home!
Yeah. Huh? Where'd you get that flower?
Cloud gave it to me.
Oh...... Did you thank him? ............",1
42,"Cloud...... ......forget it.
Careless...... You're getting all excited. Wonder what for......?
............
Sorry, Cloud. Marlene seems a little shy.
Papa, welcome home!
Yeah. Huh? Where'd you get that flower?
Cloud gave it to me.
Oh...... Did you thank him? ............
---
Thank you, Cloud. We'll take care of you.
You all right, Barret?
Great!!
Get in here, fools!! We're startin' the meetin'!!
Cloud... come over here.
Sit down. How about... ...something to drink?
OHH!! I can make a drink just as good as anyone else. Everyone says, my drinks taste the best!
Just a minute. I'll make one for you.",0
43,"Thank you, Cloud. We'll take care of you.
You all right, Barret?
Great!!
Get in here, fools!! We're startin' the meetin'!!
Cloud... come over here.
Sit down. How about... ...something to drink?
OHH!! I can make a drink just as good as anyone else. Everyone says, my drinks taste the best!
Just a minute. I'll make one for you.",1
44,"Thank you, Cloud. We'll take care of you.
You all right, Barret?
Great!!
Get in here, fools!! We're startin' the meetin'!!
Cloud... come over here.
Sit down. How about... ...something to drink?
OHH!! I can make a drink just as good as anyone else. Everyone says, my drinks taste the best!
Just a minute. I'll make one for you.
---
You know, I'm relieved you made it back safely.
What's with you all of a sudden? That wasn't even a tough job.
I guess not... You were in SOLDIER. Make sure you get your pay from Barret.
Don't worry. Once I get that money, I'm outta here.
Cloud. Are you feeling all right?
...yeah... Why?
No reason. You just look a little tired I guess.
You'd better go down below.",0
45,"You know, I'm relieved you made it back safely.
What's with you all of a sudden? That wasn't even a tough job.
I guess not... You were in SOLDIER. Make sure you get your pay from Barret.
Don't worry. Once I get that money, I'm outta here.
Cloud. Are you feeling all right?
...yeah... Why?
No reason. You just look a little tired I guess.
You'd better go down below.",1
46,"You know, I'm relieved you made it back safely.
What's with you all of a sudden? That wasn't even a tough job.
I guess not... You were in SOLDIER. Make sure you get your pay from Barret.
Don't worry. Once I get that money, I'm outta here.
Cloud. Are you feeling all right?
...yeah... Why?
No reason. You just look a little tired I guess.
You'd better go down below.
---
.........today the No.1 Reactor was bombed. The terrorist group AVALANCHE has claimed responsibility for the bombing. It is expected that AVALANCHE will continue its reign of terror. But citizens of Midgar, there is no need to fear. I have immediately mobilized SOLDIER to protect our citizenry against this senseless violence. Thank you and good night.
You think I'm a little too uptight?
The next mission will be to blow up the Sector 5 Reactor. Cloud, you're great! Don't you ever get nervous? Or are you like, impervious to feelings? Naw, that couldn't be it.
Well, that's ok. Don't worry about me. I don't look like it, but I'm a coward at heart.
Oops... Hey, look at the news... What a blast. Think it was all because of my bomb? But all I really did was just make it like the computer told me. Oh no! I must've made a miscalculation somewhere.
Hey, that was my bomb's debut. Makes me kinda proud.
Yo, Cloud! There's somethin' I wanna ask ya. Was there anyone from SOLDIER fighting us today?
None. I'm positive.",0
47,".........today the No.1 Reactor was bombed. The terrorist group AVALANCHE has claimed responsibility for the bombing. It is expected that AVALANCHE will continue its reign of terror. But citizens of Midgar, there is no need to fear. I have immediately mobilized SOLDIER to protect our citizenry against this senseless violence. Thank you and good night.
You think I'm a little too uptight?
The next mission will be to blow up the Sector 5 Reactor. Cloud, you're great! Don't you ever get nervous? Or are you like, impervious to feelings? Naw, that couldn't be it.
Well, that's ok. Don't worry about me. I don't look like it, but I'm a coward at heart.
Oops... Hey, look at the news... What a blast. Think it was all because of my bomb? But all I really did was just make it like the computer told me. Oh no! I must've made a miscalculation somewhere.
Hey, that was my bomb's debut. Makes me kinda proud.
Yo, Cloud! There's somethin' I wanna ask ya. Was there anyone from SOLDIER fighting us today?
None. I'm positive.",1
48,".........today the No.1 Reactor was bombed. The terrorist group AVALANCHE has claimed responsibility for the bombing. It is expected that AVALANCHE will continue its reign of terror. But citizens of Midgar, there is no need to fear. I have immediately mobilized SOLDIER to protect our citizenry against this senseless violence. Thank you and good night.
You think I'm a little too uptight?
The next mission will be to blow up the Sector 5 Reactor. Cloud, you're great! Don't you ever get nervous? Or are you like, impervious to feelings? Naw, that couldn't be it.
Well, that's ok. Don't worry about me. I don't look like it, but I'm a coward at heart.
Oops... Hey, look at the news... What a blast. Think it was all because of my bomb? But all I really did was just make it like the computer told me. Oh no! I must've made a miscalculation somewhere.
Hey, that was my bomb's debut. Makes me kinda proud.
Yo, Cloud! There's somethin' I wanna ask ya. Was there anyone from SOLDIER fighting us today?
None. I'm positive.
---
You sound pretty sure.
If there was anyone from SOLDIER you wouldn't be standing here now.
Don't go thinkin' you so bad jes cuz you was in SOLDIER.
............
Yeah, you're strong. Probably all them guys in SOLDIER are. But don't forget that your skinny ass's workin' for AVALANCHE now! Don't get no ideas 'bout hangin' on to Shinra.
Stayin' with Shinra? You asked me a question and I answered it...that's all.
I'm going upstairs. I want to talk about my money.
Shucks!! ............money...",0
