Character,dialogue,narrative_type
Biggs,Cloud!!,narration
Jessie,Cloud......,narration
Cloud,Looks like I'm a little late.,narration
Barret,"You damn right, you're late!! Come waltzin' in here makin' a big scene!",narration
Cloud,It's no big deal. Just what I always do.,dialogue
Barret,Shi't! Havin' everyone worried like that you don't give a damn 'bout no one but yourself!,narration
Cloud,Hmm...... You were worried about me!,narration
Barret,"Wha!? I'm takin' it outta your money, hot stuff!",narration
Barret,Wake up! We're movin' out! Follow me!,action
Wedge,"Hey, Cloud!! You were great back there!",narration
Biggs,Heh heh......Cloud! We'll do even better next time.,narration
Jessie,"Be careful, I'll shut this.",narration
Jessie,"Oh, Cloud!! Your face is pitch-black......",narration
Jessie,There you go!,action
Jessie,"Say, thanks for helping me back there at the Reactor!",dialogue
On-screen,"Last train out of Sector 8 Station. Last stop is Sector 7, Train Graveyard. Expected time of arrival is 1223AM, Midgar Standard Time...",system
NPC,This is why I hate the last train. Hoo-boy...,dialogue
NPC,"Huh...? This is my house, so make yourselves at home.",narration
NPC,You see the headlines in the Shinra Times? The terrorists that bombed the No. 1 Reactor are based somewhere in the slums. ...blowing up a Reactor... they sure put some thought into this one. They must have a real calculating leader. I wonder what they'll do next?,dialogue
Barret,Stop actin' like a damn kid. Si'down an' shu'up!,narration
Biggs,It seems this train hasn't switched to security mode yet. I'm sure that will change by tomorrow.,narration
Biggs,...YAWN...that sure took its toll on me. I'm gonna sleep till we get to the station.,action
Wedge,"Someday AVALANCHE's gonna be famous ...and me, too!",action
Wedge,Cloud!! Don't ya think I got a bright future ahead of me?,action
Wedge,"All my life, I felt like nothin' but a sidekick. But, after joinin' AVALANCHE and tryin' to save the Planet, I feel like I can do lots of things.",narration
Wedge,"Oh man, that's pretty harsh, Cloud. You really think I won't?",narration
NPC,Please!! You're bothering the other passengers.,narration
Jessie,"Hey, Cloud. You want to look at this with me? It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.",narration
Jessie,"I like this kinda stuff. Bombs and monitors...you know, flashy stuff.",narration
Jessie,"Okay, it's about to start.",narration
Jessie,"This is a complete model of the city of Midgar. It's about a 1/10000 scale. The top plate is about 50 meters above ground. A main support structure holds the plate up in the center, and there are other support structures built in each section... psst...whisper...whisper...  Then there's No.2, No.3 all the way up to the No.8 Reactor. The 8 Reactors provide Midgar with electricity. Each town used to have a name, but no one in Midgar remembers them. Instead of names, we refer to them by numbered sectors. That's the kind of place this is.",action
Jessie,"Phew..., this is next! Look.",narration
Jessie,"This is the route this train is on. The route spirals around the main support structure. We should be coming around the center area, right now. At each checkpoint, an ID sensor device is set up. It can check the identities and background on each and every passenger on the train by linking it up to the central data bank at Shinra headquarters. whisper...whisper...",action
Jessie,"Speak of the devil... That light means that we're in the ID Security Check area. ...whisper...whisper...  ...anyhow, we're almost back now. That's a relief.",narration
Biggs,...snore...heebeebeeheebee...snore...,narration
Wedge,I'm seein' stars. This sucks. I hate the dark.,narration
Jessie,"I know! Next time, I'll give you one I made myself.",narration
Jessie,"Oh yeah, you might regret it. I'm the type who takes things personal.",narration
Jessie,"Okay, then I'll put a little extra effort in and make it with a BANG.",narration
Jessie,"We're almost there. After talking with you, I really want to do it! I think you've lit my fuse!",narration
Barret,Look...you can see the surface now. This city don't have no day or night. If that plate weren't there... we could see the sky.,narration
Cloud,A floating city... Pretty unsettling scenery.,narration
Barret,Huh? Never expect ta hear that outta someone like you. ...you jes' full of surprises.,narration
Barret,"The upper world...a city on a plate... It's 'cuz of that &^#$# 'pizza', that people underneath are sufferin'! And the city below is full of polluted air. On topa that, the Reactor keeps drainin' up all the energy.",narration
Cloud,Then why doesn't everyone move onto the Plate?,dialogue
Barret,"Dunno. Probably 'cuz they ain't got no money. Or, maybe... 'Cuz they love their land, no matter how polluted it gets.",action
Cloud,I know... no one lives in the slums because they want to. It's like this train. It can't run anywhere except where its rails take it.,action
Barret,"Yo!! Get over here, all'ya!!",narration
Barret,"Yo, Cloud! You lissen up!",narration
Barret,This mission was a success. But don't get lazy now. The hard part's still to come! Don't y'all be scared of that explosion! Cause the next one's gonna be bigger than that! Meet back at the hideout!! Move out!,action
Barret,Ok! Go on ahead.,action
Barret,You! Cloud!! Get off your slow-movin' ass!!,narration
Barret,Heh heh... You wanna meet your little baby?,narration
Barret,Hey! Don' act like you don't know what I mean! I'm tellin' you...,dialogue
Barret,Heh! Jes calm down. Can't have people suspectin' us.,narration
Marlene,Papa!!,narration
Tifa,"Marlene! Aren't you going to say anything to Cloud? Welcome home, Cloud. Looks like everything went well. Did you fight with Barret?",action
Tifa,"I should have known. He's always pushing people around, and you've always been in fights ever since you were little. I was worried.",action
Tifa,Hmm. You've grown up. When you were little you used to get into fights at the drop of a hat.,narration
On-screen,Please enter a name.,system
Tifa,"Flowers? How nice... You almost never see them here in the slums. But... A flower for me? Oh Cloud, you shouldn't have...",narration
Cloud,No big.,narration
Tifa,"Thank you, Cloud. It smells wonderful. Maybe I should fill the store with flowers. Cloud, this one still has roots. I can probably start others from it.",narration
Tifa,I'm so glad everyone's safe.,narration
Biggs,Aaah!! Nothin' like that first drink after a job. Hic!! Why don't you have one too?,dialogue
Biggs,What!? You tellin' me you're too good to drink with me? Don't act big-headed jus' because you were in SOLDIER!,action
Biggs,"Oh!! That's more like it!! Even if you were with SOLDIER, you're still a rookie here. So you'd better listen to whatever I tell ya!",dialogue
Biggs,Hic...!! Oh...... Don't tell Barret what I jus said.,dialogue
Wedge,"Oh, Cloud! Tifa really knows how to cook. Mmm, mmm...... Anyway, let me tell you somethin'",dialogue
Wedge,"Tifa always lets me taste her cooking. And look at me now, I'm rolly-polly. Don't know whether I should be happy or sad. But it's the good food and drinks that make this shop famous.",action
Wedge,Cloud...... ......forget it.,narration
Jessie,Careless...... You're getting all excited. Wonder what for......?,dialogue
Marlene,............,narration
Tifa,"Sorry, Cloud. Marlene seems a little shy.",narration
Marlene,"Papa, welcome home!",narration
Barret,Yeah. Huh? Where'd you get that flower?,narration
Marlene,Cloud gave it to me.,narration
Barret,Oh...... Did you thank him? ............,narration
Marlene,"Thank you, Cloud. We'll take care of you.",narration
Tifa,"You all right, Barret?",narration
Barret,Great!!,narration
Barret,"Get in here, fools!! We're startin' the meetin'!!",narration
Tifa,Cloud... come over here.,narration
Tifa,Sit down. How about... ...something to drink?,narration
Tifa,"OHH!! I can make a drink just as good as anyone else. Everyone says, my drinks taste the best!",action
Tifa,Just a minute. I'll make one for you.,narration
Tifa,"You know, I'm relieved you made it back safely.",narration
Cloud,What's with you all of a sudden? That wasn't even a tough job.,dialogue
Tifa,I guess not... You were in SOLDIER. Make sure you get your pay from Barret.,narration
Cloud,"Don't worry. Once I get that money, I'm outta here.",narration
Tifa,Cloud. Are you feeling all right?,narration
Cloud,...yeah... Why?,dialogue
Tifa,No reason. You just look a little tired I guess.,narration
Tifa,You'd better go down below.,action
President Shinra,".........today the No.1 Reactor was bombed. The terrorist group AVALANCHE has claimed responsibility for the bombing. It is expected that AVALANCHE will continue its reign of terror. But citizens of Midgar, there is no need to fear. I have immediately mobilized SOLDIER to protect our citizenry against this senseless violence. Thank you and good night.",action
Wedge,You think I'm a little too uptight?,narration
Wedge,"The next mission will be to blow up the Sector 5 Reactor. Cloud, you're great! Don't you ever get nervous? Or are you like, impervious to feelings? Naw, that couldn't be it.",narration
Wedge,"Well, that's ok. Don't worry about me. I don't look like it, but I'm a coward at heart.",narration
Jessie,"Oops... Hey, look at the news... What a blast. Think it was all because of my bomb? But all I really did was just make it like the computer told me. Oh no! I must've made a miscalculation somewhere.",dialogue
Jessie,"Hey, that was my bomb's debut. Makes me kinda proud.",narration
Barret,"Yo, Cloud! There's somethin' I wanna ask ya. Was there anyone from SOLDIER fighting us today?",dialogue
Cloud,None. I'm positive.,narration
Barret,You sound pretty sure.,narration
Cloud,If there was anyone from SOLDIER you wouldn't be standing here now.,narration
Barret,Don't go thinkin' you so bad jes cuz you was in SOLDIER.,action
Cloud,............,narration
Barret,"Yeah, you're strong. Probably all them guys in SOLDIER are. But don't forget that your skinny ass's workin' for AVALANCHE now! Don't get no ideas 'bout hangin' on to Shinra.",narration
Cloud,Stayin' with Shinra? You asked me a question and I answered it...that's all.,dialogue
Cloud,I'm going upstairs. I want to talk about my money.,action
Barret,Shucks!! ............money...,narration
Marlene,"Papa, you're so great!",narration
Tifa,"Wait, Cloud!",action
Barret,Tifa! Let him go! Looks like he still misses the Shinra!,action
Cloud,Shut up! I don't care about either Shinra or SOLDIER! But don't get me wrong! I don't care about AVALANCHE or the Planet for that matter!,narration
Wedge,".......Cloud. You say you don't care, but you came to talk to me. Cloud... You just want friends. Isn't that right?",dialogue
Wedge,"Yeah, well. You look kind of lonely to me. If you ever got anything you want to get off your chest, you can always talk to me.",action
Wedge,You're terrible. Real cold blooded.,narration
Jessie,"Money... Oh my. It must have been for a lot of it. Sure! Well, what the hell? It's a verbal agreement. Now let me figure this out. Oh stop it, Cloud! Did you hear me?",dialogue
Tifa,Straighten things up with everyone for me.,narration
Tifa,"Listen, Cloud. I'm asking you. Please join us.",dialogue
Cloud,Sorry Tifa...,narration
Tifa,The Planet is dying. Slowly but surely it's dying. Someone has to do something.,narration
Cloud,So let Barret and his buddies do something about it. It's got nothin' to do with me.,action
Barret,You damn right we'll do something about it. N' you stay outta this Tifa!,narration
Tifa,So! You're really leaving !? You're just going to walk right out ignoring your childhood friend !?,action
Cloud,What......?,dialogue
Tifa,"......You forgot the promise, too.",action
Cloud,Promise?,narration
Tifa,So you DID forget.,narration
Tifa,Remember......Cloud. It was seven years ago...,action
Tifa,"Look, the well. Do you remember?",narration
Cloud,"Yeah...back then. I thought you would never come, and I was getting a little cold.",narration
Tifa ,Sorry I'm late. You said you wanted to talk to me about something?,narration
Cloud ,Come this spring...I'm leaving this town for Midgar.,narration
Tifa ,...All boys are leaving our town.,narration
Cloud ,"But I'm different from all of them. I'm not just going to find a job. I want to join SOLDIER. I'm going to be the best there is, just like Sephiroth!",action
Tifa ,Sephiroth... The Great Sephiroth. Isn't it hard to join SOLDIER?,narration
Cloud ,...I probably won't be able to come back to this town for a while.,narration
Cloud ,...huh?,narration
Tifa ,Will you be in the newspapers if you do well?,narration
Cloud ,I'll try.,narration
Tifa ,"Hey, why don't we make a promise? Umm, if you get really famous and I'm ever in a bind...... You come save me, all right?",dialogue
Cloud ,What?,dialogue
Tifa ,"Whenever I'm in trouble, my hero will come and rescue me. I want to at least experience that once.",narration
Cloud ,What?,dialogue
Cloud ,"Ha, ha, ha! What's that!",dialogue
Tifa ,You're laughing at me!,narration
Tifa ,Come on--! Promise me----!,narration
Cloud ,All right......I promise.,narration
Tifa,"You remember now, don't you... our promise?",narration
Cloud,I'm not a hero and I'm not famous. I can't keep......the promise.,narration
Tifa,"But you got your childhood dream, didn't you? You joined SOLDIER. So come on! You've got to keep your promise......",action
Barret,Wait a sec big-time SOLDIER! A promise is a promise! Here!!,action
On-screen,"Received Barret's stash, 1500 gil!",system
Cloud,This is my pay? Don't make me laugh.,narration
Tifa,What? Then you'll...!!,dialogue
Cloud,You got the next mission lined up? I'll do it for 3000.,action
Barret,What......!?,dialogue
Tifa,"It's ok, it's ok.",narration
Tifa,"psst, psst......",narration
Barret,Uh......ugh......,narration
Barret,2000!,narration
Tifa,"Thanks, Cloud.",narration
Tifa,Good Morning! Cloud! Did you sleep well?,action
Tifa,psstpsst...,narration
Tifa,I don't know what you mean.,dialogue
Tifa,I'm going this time.,action
Barret,Our target's the Sector 5 Reactor. Head for the station first. I'll fill you in on the train.,narration
Barret,"Yo! Cloud! Before the next mission, I got somethin' I wanna ask you! I, uh,...... I don't really know how to use Materia! I'll give you that Materia you found. Just teach me how to use it!",action
Cloud,...sigh...,narration
Cloud,"Sure, I'll explain how Materia works. First, access the menu. You know the basic functions. The triangle button brings up the menu. Directional buttons move the cursor, like this. Select each menu by using the OK button. If you want to leave the menu, just push the CANCEL button. See? Let's go ahead. Now you're in this menu. Select  sub menu. Select who you want to use it. Now look at my weapon here. Each weapon and armor has slots in it. Choose which slot you want to put Materia in. Now select the Materia you want to use. This is curative Materia. If you want to know what its effect is, line the cursor up with , and push the OK button. It's just like selecting battle commands. Just line the cursor up to , you can see that the available magic has increased. Now you can use new magic . And that's all there is to equipping Materia. See? It wasn't that tough! When you want to remove any Materia, it's as easy as pointing to the materia slot, and pushing the triangle button. There's just one thing you have to be careful of. Whenever you equip Materia, your situation changes. Parts of you may become stronger... while others get weaker. Normally, when you equip  Materia, your magic power will get stronger. But your physical strength weakens. So, Materia's kind of a double-edged sword. On the left side of the screen, you can see the Materia's effect on you. It's wise not to overuse Magic Materia. But try out various things. Push the CANCEL button to exit the sub menu. Ok, that's about it. I'll give you some advanced tips later.",action
Barret,"Shi......! What's this 'It wasn't that tough!' crap! I'm clueless...... Well, you handle the Materia then!",dialogue
Barret,"So this is what makes them guys in SOLDIER so great, huh!? Ok. I'll ask Jessie again later. But you're in charge of the Materia!",dialogue
On-screen,Access the menu and select  to equip Materia.,system
Tifa,I'm going this time.,action
Tifa,Cloud! I got a message from the Weapon Shop man upstairs. He has something he wants to give you. Don't forget!,action
Tifa,"Marlene, you watch the store while we're gone!",action
Marlene,All right!! Good Luck.,action
Marlene,Take care!,narration
Barret,YO! Looks like this ain't no private car!! So split up!!,narration
Shinra Manager,"...hoodlums again. God, don't I just have all the luck...",action
Barret,You say sumthin' ?,dialogue
Barret,"I said, 'you say sumthin'!?",dialogue
Barret,"Yo, look at that!! It got empty alluva sudden. What's goin' on?",action
Shinra Manager,"DAMN!! I...it's empty because of... g, guys like you... Y, Y, YIPES!! You...you've seen the news, right? AVALANCHE says there'll be more bombings. Only devoted employees like me would go to Midgar on a day like today.",action
Barret,You workin' for Shinra?,narration
Shinra Manager,I won't give in to violence... and I'm not giving you my seat either!,narration
Tifa,Barret!!,narration
Barret,&$#%!! You lucky ^$#^$.!,narration
Cloud,"So, what are we gonna do now?",action
Barret,Shit! The hell you so calm about? You bustin' up my rhythm...,narration
Tifa,Seems like they just finished connecting the cars. We're finally leaving.,narration
Cloud,So what's our next target?,dialogue
Barret,Hah! Listen to Mr. Serious-about-his-work!,narration
Barret,"Awright...I'll tell ya! Jessie's probably already told you, but there's a security check point at the top plate. It's an ID scan system checkin' all the trains.",dialogue
Tifa,Which Shinra is very proud of.,narration
Barret,We can't use our fake ID's anymore...,narration
On-screen,"Good Morning, and welcome to Midgar lines. Arrival time at Sector 4 Station will 1145.",system
Tifa,That means we've got only three more minutes to the ID Check point.,action
Barret,"Alright, in three minutes, we're jumpin' off this train. Got it!?",action
Tifa,"Cloud, come over here! Let's look at the Railway Map Monitor.",narration
Barret,"Yo, Mr. know-it-all, big time SOLDIER! You oughta know the area 'round the No. 5 Reactor, right! So let's hear YOUR explanation!",narration
NPC,Hmmm......? You're the only ones that'll talk to me or come to my house. I'm impressed.,narration
Shinra Manager,Waaaaah!! Don...don't worry about me.,narration
Tifa,"Hmm, it looks like you've seen this already... It's all right. Come a little closer.",narration
Tifa,That's odd. The ID Check Point was supposed to be further down.,narration
On-screen,Type A Security Alert!! Unidentified passengers confirmed... A search of all cars will be conducted! Repeat!! Type A Security Alert!! Unidentified passengers confirmed... A search of all cars will be conducted!,system
Tifa,What's happening?,dialogue
Barret,What's goin' on!!,action
Jessie,We're in trouble. I'll explain later. Hurry! Get to the next car!,narration
Barret,^%#@%! Someone blew it...,narration
On-screen,Unidentified passengers located in Car #1 Preparing for Lock Down,system
Barret,Let's go! Keep it up!,action
On-screen,"You have 15 seconds to reach next car. Reach car 5 if you want to date Tifa/Barret, or get off earlier if you want to date Aeris/Yuffie.",system
NPC,Hm? ... You'd talk to me even now? I'm really impressed. Let me give you a little something as a reward.,narration
NPC,"If I die in the gutter, use that to revive me, okay?",narration
On-screen,Car #1 Locked Down Car being sent to the Station,system
Barret,"C'mon!! Hurry your slow ass up! That's it, huh?",narration
Tifa,Oh well...,narration
Barret,We're gonna jump outta here!! Follow me!!,action
Tifa,We got a lot of battles ahead of us. This's going to be tough.,action
On-screen,Car #1 Locked Down Upgrading to Level 2 Warning,system
Biggs,Hurry!,narration
Wedge,"They're gonna lock the door, sir!",action
On-screen,Unidentified passengers located in Car #2 Preparing for Lock Down,system
Jessie,Just run! Changing to Plan 2!,action
NPC,Hey... You guys are rowdy...,narration
NPC,"Well, just calm down.",narration
NPC,"Gosh!! You're adults, but you're making such noise. Please behave while you're in the train.",action
NPC,Hyu---n!! Hyu---n!!,narration
NPC,Does this mean that we're in a major bind?,narration
NPC,Huh? The hell?! Do you want this?,narration
NPC,Wow! I won't even charge you... Wha-t? Don't get used to it though.,narration
NPC,Wha-t? Let me know when you need me.,narration
NPC,Wha-t? You sure are greedy.,narration
 On-screen,Car #2 Locked Down Car being sent to the Station,narration
Barret,What!? That's it!?,dialogue
Tifa,That didn't do anything!,narration
Barret,"We'll jump from here!! Follow me, you 'spensive leech!!",action
Tifa,Phew-----! Be strong!,narration
On-screen,Car #2 Locked down Upgrading to Warning Level 3,system
Barret,Awright! We clear!?,narration
Jessie,"Not yet. They're starting another check. If we're caught, we're done for! But, don't worry. If we move up the train, car by car, we should get past it!",narration
On-screen,Unidentified Passengers Moving to front of Train Currently tracking location,system
NPC,Hee hee!!,narration
NPC,...nowhere to run...,action
NPC,By any chance... Busted?,narration
NPC,"Ok, then. That's that.",narration
NPC,I'm so--- sorry. I'll give it back...,narration
NPC,urrrrrrrg,narration
Johnny,"Later...Goodbye...Adios, Midgar!!",action
Johnny,sob...,narration
On-screen,Car #3 Locked Down Illegal ID will be taken to the station,system
Barret,The hell!? So this is as far as we go...?,action
Tifa,We were almost there.,narration
Barret,We're gonna jump off here!! Follow me!!,action
Tifa,Don't worry! Don't worry!,narration
On-screen,Car #3 Locked Down Upgrading to Warning Level 4,system
NPC,Brrrrrr...... It's terrible. Who'd expect underwear bandits in this day and age? They wiped me out!,narration
NPC,"Any idea what happened? All I know is, when I woke up the 3 of us were butt-naked! But I guess you couldn't relate...",dialogue
NPC,That scary broad made me take the bomb. Of course I couldn't very well refuse her!,narration
On-screen,Car #4 Locked Down Illegal ID will be taken to the Station,system
On-screen,Car #4 Locked Down Upgrading to maximum security alert!!,system
Barret,All right!! We made it!,narration
Barret,Yo!! This way!!,narration
Barret,Let's go!! We're gonna dive outta here!!,action
Barret,Yo!! Ain't no time to waste!! ...do something!,narration
Tifa,...Scary...huh.,narration
Cloud,Too late to be saying that now. Why'd you come along anyway?,dialogue
Tifa,Because...,narration
Barret,Hey you two! There ain't no time for that!,narration
Wedge,"Guess who? It's me, Wedge! Looks like things were a success.",narration
Wedge,I look just like my little brother in these clothes... I wonder how everyone's doin' now...?,narration
Jessie,"It's me, Jessie. How do I look, Cloud? Do I look good in a Shinra uniform?",action
Cloud,"...you look great, just like a man.",narration
Jessie,Yay!! I'm so happy ...I think?,narration
Cloud,Just concentrate on our plan.,narration
Jessie,"You're right, sorry.",narration
Tifa,Yeah!! I've made up my mind! Watch closely. I'm gonna jump!!,action
Cloud,You don't care if I go first?,action
Barret,"A leader always stays till the end. Don't worry 'bout me, just go!",action
Barret,Yo! Don't go gettin' your spikey-ass hurt! It's only the beginnin' of the mission!,action
Barret,Later! You take care of the rest!,narration
Barret,"Oh man...... We were forced to get this far out. We can't just go back now. We've gotta go on. Biggs, Wedge, and Jessie did good. Now, it's our turn!",action
Barret,"That was close. I thought we were gonna get caught... They probably don't realize that we've sneaked in yet. We should get to the reactor in no time. Biggs, Wedge, and Jessie did good. Now, it's our turn!",action
Barret,"Good, so far everything's going as planned. Better not let your guard down till we get to the Sector 5 reactor. Biggs, Wedge and Jessie got everything ready for us. So MOVE it.",action
Barret,"Well, the reactor's just down this tunnel!",narration
Cloud,Shinra security guards are there. ...We've got to turn back.,action
Soldier,You're the AVALANCHE!,narration
Cloud,More security's coming. It's dangerous to stay here.,narration
Cloud,Those light beams are the Shinra's security sensors. We can't go any further.,action
Cloud,"After coming this far, only an amateur'd get caught by the security sensor.",narration
Barret,"That's one damn tiny hole. You tellin' me to squeeze into that to get under the Plate? No way! Yo, Cloud, what're we gonna do?",action
Tifa,...There seems to be nothing that'll get us stuck in this duct.,narration
Cloud,"Yeah. If we go down this duct, we won't be able to come back up here.",action
Barret,"Don't be wastin' time. Never know when the Shinra'll find us. Cloud, you jes' gotta go.",action
Barret,"But, damn man, that thing gives me the chills.",narration
Barret,Whaddya mean we're not goin' in? There ain't no other way of gettin' to the Sector 5 reactor 'cept through here.,action
Wedge,"Cloud, this way. The reactor's up this ladder.",narration
Jessie,I'm sorry. The ID scan problem on the train was all my fault. I made your ID card special...... So that's why it happened... I put my heart into making it. But I failed.,dialogue
Jessie,"Next time, I'll give you something more decent. I'll be back at the hideout in my research room workin' on it.",narration
Biggs,"We're gonna pull out now. We'll meet up at the hideout. Cloud, we're countin' on you to blow the reactor!",action
Tifa ,Papa...,narration
Tifa ,Sephiroth!?,narration
Tifa ,"Sephiroth did this to you, didn't he!?",narration
Tifa ,Sephiroth...SOLDIER... Mako Reactors...Shinra...Everything! I hate them all!,narration
Barret,"Damn man, get a hold of yourself!",narration
Tifa,You all right?,narration
Cloud,......Tifa.,narration
Tifa,Mmm?,narration
Cloud,"No... forget...... Come on, let's hurry!",narration
Cloud,"I know. You're my watch, right?",narration
Barret,Damn straight. Tifa's old friend... That ain't good enough.,action
Tifa,"Let's hurry, Cloud.",narration
Tifa,Jessie said we all have to push the button at once.,action
Tifa,No good. Let's try it again.,action
Barret,This way!,narration
Barret,Shinra soldiers!?,narration
Barret,SHIT! What the hell's goin' on?,action
Cloud,...a trap...,narration
Barret,Presi...President Shinra?,narration
Tifa,Why is the President here?,dialogue
President Shinra,Hmm... So you all must be that... ...what was it?,dialogue
Barret,"AVALANCHE! And don't ya forget it! And you're President Shinra, huh?",narration
Cloud,"Long time no see, President.",narration
President Shinra,"...Long time no see? Oh...you. You're the one who quit SOLDIER and joined AVALANCHE. I knew you'd been exposed to Mako, from the look in your eyes... Tell me, traitor... what was your name?",dialogue
Cloud,Cloud.,narration
President Shinra,"Forgive me for asking, but I can't be expected to remember each person's name. Unless you become another Sephiroth.",dialogue
President Shinra,"Yes, Sephiroth... He was brilliant. Perhaps too brilliant...",narration
Cloud,Sephiroth.......?,narration
Barret,Don't give a damn 'bout none of that! This place's goin' up with a big BANG soon! Serves y'all right!,action
President Shinra,"And such a waste of good fireworks, just to get rid of vermin like you...",action
Barret,"VERMIN!? That's all you can say...VERMIN! Y'all Shinra're the VERMIN, killing the planet! And that makes you King VERMIN! So shu'up jackass!",dialogue
President Shinra,"...You are beginning to bore me. I'm a very busy man, so if you'll excuse me... I have a dinner I must attend.",narration
Barret,Dinner!? Don't gimme that! I ain't even started wit' you yet!,narration
President Shinra,"But, I've made arrangements for a playmate for you all.",narration
Tifa,!? What's that noise?,dialogue
Barret,The hell is this!?,narration
President Shinra,"Meet 'Airbuster', a techno-soldier. Our Weapon Development Department created him. I'm sure the data he'll extract from your dead bodies will be of great use to us in future experiments.",narration
Cloud,...Techno-soldier?,narration
President Shinra,"Now then, if you'll excuse me.",narration
Cloud,"Wait, President!",action
Barret,"Yo, Cloud! We've gotta do somethin' 'bout him!",action
Tifa,"Help, Cloud!",narration
Tifa,THIS is from SOLDIER?,narration
Cloud,No way! It's just a machine.,narration
Barret,I don't care what it is!! I'm gonna bust him up!,action
